id,Feature_ID,Passengers_Per_Hour,geometry
passenger_flow_mpp.1,1,1.0,"LINESTRING (326823.07260779524 3322179.616863166, 326871.99386220693 3321983.1764353714)"
passenger_flow_mpp.2,2,3.0,"LINESTRING (301535.97134711395 3317848.244560917, 302116.87848364585 3318261.348810661, 302169.86309168447 3318299.031005382, 302194.5263949377 3318307.1274673613, 302203.8041243935 3318307.7376572923, 302217.8611730604 3318305.7121509933, 302232.68957090576 3318298.2397969016, 302263.4529756055 3318264.204183416, 302269.50923672295 3318268.198406731, 302301.71164811077 3318225.552937444, 302397.7546487891 3318098.3679668643, 302413.0515341873 3318084.678299819, 302430.4581390367 3318075.6078744186, 302440.842552612 3318073.3156550005, 302454.6500248738 3318073.512508661, 302464.359459864 3318076.6654296382, 302488.7102308754 3318088.8706609, 302508.0523341191 3318102.01583115)"
passenger_flow_mpp.3,3,59.0,"LINESTRING (325536.0257458596 3326655.6944010905, 325570.267891981 3326472.2658892935, 325567.3490034785 3326458.4540056014, 325602.72998099757 3326268.6485130433)"
passenger_flow_mpp.4,4,61.0,"LINESTRING (331060.2968211286 3330917.6540359287, 331111.3541125606 3330912.562352982)"
passenger_flow_mpp.5,5,335.0,"LINESTRING (341818.9888752238 3333008.843040341, 341861.0292542657 3332998.0241864254)"
passenger_flow_mpp.6,6,414.0,"LINESTRING (326887.19575489766 3321916.38482646, 326888.1507868012 3321912.192537086)"
passenger_flow_mpp.7,7,434.0,"LINESTRING (333665.20692013926 3335632.368139812, 333729.2223606913 3335768.4233840085, 333775.23851060006 3335740.2335589924, 333812.1485724486 3335715.1749219447, 333828.3114095749 3335707.1701895925, 333835.03338143113 3335704.958841853)"
passenger_flow_mpp.8,8,457.0,"LINESTRING (329087.30342811695 3321399.610593754, 329129.5533091305 3321619.3062986606, 329131.83232988755 3321666.830634378)"
passenger_flow_mpp.9,9,459.0,"LINESTRING (336915.80621303135 3330842.5455796984, 336918.4324238307 3330837.6289013186, 336922.32627900736 3330833.6911658356)"
passenger_flow_mpp.10,10,467.0,"LINESTRING (329475.52584059327 3322540.1323442175, 329475.8609027914 3322540.089475768)"
passenger_flow_mpp.11,11,506.0,"LINESTRING (329244.12757166405 3322184.1472768984, 329253.9612503981 3322242.969108851)"
passenger_flow_mpp.12,12,510.0,"LINESTRING (329152.74126694165 3328225.699431911, 329153.9977719784 3328240.940181421, 329159.4194790991 3328273.449704973, 329169.74377151823 3328304.9963062927, 329202.9702517694 3328377.0961106736)"
passenger_flow_mpp.13,13,516.0,"LINESTRING (346044.4616985277 3335664.7313740402, 346045.6549221341 3335665.313264205, 346101.1006615125 3335683.533469414)"
passenger_flow_mpp.14,14,531.0,"LINESTRING (344096.7160781302 3338297.004585454, 344166.4566501605 3338283.579603754)"
passenger_flow_mpp.15,15,543.0,"LINESTRING (340848.26834383665 3330014.4198222393, 340856.24466204585 3329970.4854190946, 340859.60820503265 3329951.9549132925)"
passenger_flow_mpp.16,16,544.0,"LINESTRING (340643.48435686104 3335247.4760851464, 340718.6182973049 3335239.291913393, 340761.5927127657 3335231.211743023)"
passenger_flow_mpp.17,17,573.0,"LINESTRING (340188.0153901733 3330112.0007621315, 340229.9122583531 3330394.470749041)"
passenger_flow_mpp.18,18,581.0,"LINESTRING (336160.1812891329 3318715.7723032916, 336200.4082928407 3318700.1672858438, 336249.02340428275 3318679.1602804027, 336336.4938297855 3318649.2639490073, 336466.42780130287 3318619.516110633, 336546.72865235864 3318594.161824641, 336616.7490813084 3318578.382872196, 336687.001941924 3318565.261496231, 336740.07960959047 3318552.283339439, 336836.9043139048 3318515.2690220457, 336941.9715398528 3318467.8243868332, 337045.46476318594 3318424.8382533714, 337094.2753405029 3318410.3727690554)"
passenger_flow_mpp.19,19,607.0,"LINESTRING (331691.4076159541 3330900.467295375, 331732.20708959125 3330892.837013578, 331748.2164126856 3330889.8429037146, 331978.21555034106 3330870.4761445764, 331986.40528821514 3330869.5130117005)"
passenger_flow_mpp.20,20,611.0,"LINESTRING (343605.50479847786 3325318.614007628, 343863.70686738106 3325347.090637557)"
passenger_flow_mpp.21,21,621.0,"LINESTRING (328688.40183025575 3328968.3359877556, 328806.23048825614 3328931.5820854683, 328853.54771718103 3328917.654044776)"
passenger_flow_mpp.22,22,625.0,"LINESTRING (341953.16081068834 3327194.403752217, 341979.73109110247 3327153.0286537516)"
passenger_flow_mpp.23,23,630.0,"LINESTRING (335783.9249253452 3329316.885397711, 335899.77209147054 3329217.3811684246, 335909.0964036789 3329222.00915252, 335912.5205882265 3329231.8245505495, 335810.7691761727 3329313.270226476, 335796.60406578006 3329326.6736181835, 335792.00998137874 3329335.3891013227, 335790.3719847662 3329348.38399689, 335794.03199081984 3329361.078174225)"
passenger_flow_mpp.24,24,638.0,"LINESTRING (331334.78160110547 3325594.34279377, 331345.1394441055 3325596.845033133)"
passenger_flow_mpp.25,25,639.0,"LINESTRING (327562.8686546386 3326972.842231466, 327561.0565815506 3326963.7775672423, 327562.44310605025 3326953.778171633, 327567.0268281608 3326944.7265283326, 327574.2448880386 3326937.6292171143, 327581.907554101 3326934.2943104384, 327593.5612527783 3326933.335975204, 327616.7434348337 3326935.744970411, 327665.4084127606 3326945.848572455, 327738.9879195322 3326964.3211689335, 327819.92494708137 3326996.9806571403, 327875.7728229725 3327016.285459578)"
passenger_flow_mpp.26,26,645.0,"LINESTRING (331654.6751011588 3323495.0790191256, 331664.50733174704 3323495.6341086794)"
passenger_flow_mpp.27,27,647.0,"LINESTRING (346827.10213099874 3321624.930824203, 346859.30746144825 3321624.582814041)"
passenger_flow_mpp.28,28,652.0,"LINESTRING (337463.20912817307 3330031.393410743, 337648.8429476814 3329963.580905313, 337683.429087106 3329948.9920183877, 337699.2130816112 3329940.885105276)"
passenger_flow_mpp.29,29,662.0,"LINESTRING (341168.1130484069 3327754.1132538845, 341268.6044417735 3327789.1364970356, 341347.0097465121 3327828.7310278355)"
passenger_flow_mpp.30,30,673.0,"LINESTRING (338296.4821861143 3334246.1266670283, 338314.8111126509 3334280.2230465477)"
passenger_flow_mpp.31,31,678.0,"LINESTRING (327503.78015687806 3321806.773066607, 327512.0746926627 3321818.949246868, 327517.59274707455 3321832.499151018)"
passenger_flow_mpp.32,32,680.0,"LINESTRING (331176.65683580365 3315684.5381836463, 331189.387673161 3315677.4707116354, 331190.15951346373 3315675.67188659)"
passenger_flow_mpp.33,33,684.0,"LINESTRING (330960.29046343965 3331406.6705851126, 331110.7311829773 3331404.6932116193)"
passenger_flow_mpp.34,34,691.0,"LINESTRING (337261.2729461391 3334450.4175740527, 337307.2814054171 3334511.928198353, 337371.42690974707 3334587.914815946)"
passenger_flow_mpp.35,35,698.0,"LINESTRING (341928.35506107507 3328834.3258809675, 341979.50298012746 3328828.5347312093)"
passenger_flow_mpp.36,36,705.0,"LINESTRING (337989.8648405742 3333174.541545161, 338173.38831229607 3333071.6237845276, 338064.90074971586 3332877.3347123987)"
passenger_flow_mpp.37,37,709.0,"LINESTRING (336518.4654278789 3329904.0149702393, 336524.4471285884 3329908.160942671, 336554.37473023415 3329924.012798414, 336741.9336447217 3330005.704013901)"
passenger_flow_mpp.38,38,717.0,"LINESTRING (327953.6286528659 3318656.9760347, 328024.8214468759 3318666.794867593, 328112.7252663601 3318690.7042501555)"
passenger_flow_mpp.39,39,721.0,"LINESTRING (349981.59306798724 3325546.276361958, 350081.89975266124 3325554.5561298667, 350628.64719748666 3325595.2450991543)"
passenger_flow_mpp.40,40,725.0,"LINESTRING (351703.84831447364 3325830.5865214155, 351705.26379045786 3325792.4353862046)"
passenger_flow_mpp.41,41,727.0,"LINESTRING (343097.601158403 3325264.8977227854, 343317.70271710807 3325286.87906443)"
passenger_flow_mpp.42,42,730.0,"LINESTRING (337591.38245792064 3332501.0923877694, 337589.90575544245 3332495.337372438, 337591.5991179027 3332486.000284389, 337705.39174667967 3332425.0116623417)"
passenger_flow_mpp.43,43,733.0,"LINESTRING (334603.82025414077 3332211.636282205, 334622.9195153364 3332303.7464305395, 334628.31384655315 3332335.5929866815, 334630.627919249 3332367.7075708946, 334628.2675076009 3332415.8562577344, 334619.0538643127 3332463.331965521, 334617.433353515 3332468.6953440625)"
passenger_flow_mpp.44,44,742.0,"LINESTRING (331244.6167356554 3330920.2796227713, 331250.3810601874 3330925.290879784, 331257.5519261087 3330927.730754975, 331265.0658092897 3330927.393832826)"
passenger_flow_mpp.45,45,754.0,"LINESTRING (332073.9207406625 3333434.484070976, 332320.1087219779 3333369.6158858356)"
passenger_flow_mpp.46,46,755.0,"LINESTRING (337839.0821979743 3332488.9395225476, 338064.90074971586 3332877.3347123987)"
passenger_flow_mpp.47,47,756.0,"LINESTRING (328186.45017893106 3321885.9285927666, 328468.6853477403 3321882.9054542026)"
passenger_flow_mpp.48,48,757.0,"LINESTRING (338710.5559103151 3328768.2357295044, 338725.3801291168 3328839.077935231)"
passenger_flow_mpp.49,49,759.0,"LINESTRING (338126.880700085 3304763.1493663695, 338139.6565058597 3304733.867558515, 338151.529608922 3304713.1867300738, 338215.1024544562 3304646.5248689274, 338233.5913318357 3304622.3113675346, 338246.7175421545 3304608.041909524, 338270.91417183884 3304584.2996593066, 338278.0946621614 3304573.109823135, 338279.71253377735 3304564.7722810428, 338282.5933451683 3304560.688643987, 338322.21959138813 3304504.514672168, 338356.7991692353 3304443.9291584445, 338374.0728144486 3304402.551367762, 338393.7441818784 3304373.2217404684, 338586.99866307364 3304114.120752673, 338668.9205253854 3304013.0527066826, 338740.3696428661 3303929.3195100273, 338769.6861574448 3303891.9801814067, 338780.40025064547 3303876.3186649345, 338808.2922830391 3303835.550378628)"
passenger_flow_mpp.50,50,763.0,"LINESTRING (337126.0564791881 3330107.214386541, 337184.3380254924 3330123.9787245565)"
passenger_flow_mpp.51,51,772.0,"LINESTRING (339201.0785225864 3331257.6113186376, 339252.4365692835 3331220.8912237515)"
passenger_flow_mpp.52,52,788.0,"LINESTRING (337202.8193450141 3326930.0720342826, 337214.66348271223 3326937.3677839977, 337301.2111249858 3326993.070594501, 337420.94972185977 3327065.927331341)"
passenger_flow_mpp.53,53,791.0,"LINESTRING (327266.95747192774 3320840.5377063504, 327269.4505917366 3320864.2233115393)"
passenger_flow_mpp.54,54,794.0,"LINESTRING (331251.57202459755 3330889.7968678097, 331262.53167119244 3330887.8550512027, 331269.3102580805 3330889.8575024796, 331277.22373511957 3330896.7204751456, 331280.020799723 3330903.107575879, 331279.7950102269 3330913.5320375813)"
passenger_flow_mpp.55,55,795.0,"LINESTRING (342346.3867489159 3334148.9420697065, 342400.51613655535 3334153.819547752)"
passenger_flow_mpp.56,56,803.0,"LINESTRING (342734.36797283863 3332432.444029131, 342762.0814317679 3332402.4495145595, 342792.2958716551 3332378.8489330607)"
passenger_flow_mpp.57,57,804.0,"LINESTRING (338874.7217587464 3303745.3506758222, 338893.907815514 3303715.69658269)"
passenger_flow_mpp.58,58,817.0,"LINESTRING (333391.8928752565 3326255.6109014116, 333402.046645 3326257.452932917, 333406.4272098823 3326260.1582287406, 333412.7217281183 3326268.2667284617)"
passenger_flow_mpp.59,59,821.0,"LINESTRING (339792.888592275 3334554.9363420876, 339908.8768169284 3334559.4210807723, 339926.57451792236 3334731.7822998697)"
passenger_flow_mpp.60,60,837.0,"LINESTRING (331983.8403628428 3330861.634454475, 332047.27113887365 3330853.790723673, 332159.3832551494 3330834.89702259, 332254.82246125356 3330828.896743339, 332275.5619555492 3330823.481069132, 332465.2877251768 3330754.7401077654, 332549.10955836915 3330720.095430381, 332576.1579750219 3330711.147678625, 332630.2136316438 3330699.919071444)"
passenger_flow_mpp.61,61,842.0,"LINESTRING (333420.6477722161 3334551.075856704, 333436.0601428279 3334665.1399700097)"
passenger_flow_mpp.62,62,843.0,"LINESTRING (330789.9124553895 3333527.5343634775, 330792.68370363157 3333544.786257049, 330793.4119734511 3333579.585854617)"
passenger_flow_mpp.63,63,845.0,"LINESTRING (329010.86304354377 3329848.37442306, 329010.83791188896 3329845.0178836356, 329018.7622335771 3329746.8919998007, 329024.58850818203 3329712.323163628, 329045.77320554294 3329636.595275753)"
passenger_flow_mpp.64,64,851.0,"LINESTRING (333351.5578866851 3326153.1476307474, 333391.8928752565 3326255.6109014116)"
passenger_flow_mpp.65,65,853.0,"LINESTRING (321530.8540585336 3319112.9642046904, 321641.831310892 3319154.4106440973)"
passenger_flow_mpp.66,66,854.0,"LINESTRING (327257.7098888585 3318767.333607344, 327278.8715325198 3318645.4979700968, 327288.3184534739 3318601.5598146985)"
