Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
1,1,8446,883e604801fffff,1889,983,906,4529,0.2,"MULTIPOLYGON (((355182.9676273983 3348764.2149460097, 355757.61757622217 3348802.00387015, 356079.58320771344 3348321.5679018423, 355826.91090854857 3347803.336709163, 355252.2610301178 3347765.5337251895, 354930.2833725582 3348245.975993276, 355182.9676273983 3348764.2149460097)))"
2,2,12761,883e604805fffff,1889,983,906,4853,0.2,"MULTIPOLYGON (((354355.61106402695 3348208.179271242, 354930.2833725582 3348245.975993276, 355252.2610301178 3347765.5337251895, 354999.5774137267 3347247.285119179, 354424.90518797026 3347209.474322315, 354102.91551112913 3347689.9251103094, 354355.61106402695 3348208.179271242)))"
3,3,7816,883e604807fffff,1889,983,906,2713,0.1,"MULTIPOLYGON (((355252.2610301178 3347765.5337251895, 355826.91090854857 3347803.336709163, 356148.8790093266 3347322.905119363, 355896.20829643216 3346804.664267329, 355321.5575493482 3346766.8472388363, 354999.5774137267 3347247.285119179, 355252.2610301178 3347765.5337251895)))"
4,4,2689,883e604809fffff,1793,933,860,310,0.0,"MULTIPOLYGON (((355113.67927497544 3349762.890876458, 355688.3283089525 3349800.6657509273, 356010.29146947816 3349320.22651082, 355757.61757622217 3348802.00387015, 355182.9676273983 3348764.2149460097, 354860.99247893295 3349244.6627117908, 355113.67927497544 3349762.890876458)))"
5,5,4155,883e60480bfffff,1323,688,634,443,0.1,"MULTIPOLYGON (((356010.29146947816 3349320.22651082, 356584.91905557615 3349358.0065425606, 356906.8727128254 3348877.5790871843, 356654.21075039974 3348359.3630866846, 356079.58320771344 3348321.5679018423, 355757.61757622217 3348802.00387015, 356010.29146947816 3349320.22651082)))"
6,6,5331,883e60480dfffff,1889,983,906,1112,0.1,"MULTIPOLYGON (((354286.3210582 3349206.8789460897, 354860.99247893295 3349244.6627117908, 355182.9676273983 3348764.2149460097, 354930.2833725582 3348245.975993276, 354355.61106402695 3348208.179271242, 354033.6238903662 3348688.634457856, 354286.3210582 3349206.8789460897)))"
7,7,45691,883e604821fffff,1889,983,906,4330,0.8,"MULTIPOLYGON (((353597.515695125 3346653.390770646, 354172.2112567841 3346691.2104896535, 354494.20245820086 3346210.764111466, 354241.5111325849 3345692.4917035643, 353666.8147121083 3345654.656801811, 353344.81144535344 3346135.1105857533, 353597.515695125 3346653.390770646)))"
8,8,3708,883e604823fffff,1636,851,784,976,0.1,"MULTIPOLYGON (((354494.20245820086 3346210.764111466, 355068.8765172777 3346248.590063344, 355390.8581523301 3345768.156581887, 355138.1787344557 3345249.8897423204, 354563.50480450265 3345212.0497207786, 354241.5111325849 3345692.4917035643, 354494.20245820086 3346210.764111466)))"
9,9,46462,883e604825fffff,1889,983,906,4369,0.8,"MULTIPOLYGON (((352770.0925359472 3346097.2819309784, 353344.81144535344 3346135.1105857533, 353666.8147121083 3345654.656801811, 353414.11212679 3345136.368048783, 352839.3933480714 3345098.5252916976, 352517.3779933974 3345578.9864849006, 352770.0925359472 3346097.2819309784)))"
10,10,6621,883e604827fffff,1889,983,906,2955,0.1,"MULTIPOLYGON (((353666.8147121083 3345654.656801811, 354241.5111325849 3345692.4917035643, 354563.50480450265 3345212.0497207786, 354310.8141517838 3344693.767655898, 353736.1178876312 3344655.9197777943, 353414.11212679 3345136.368048783, 353666.8147121083 3345654.656801811)))"
11,11,17512,883e604829fffff,1889,983,906,6842,0.3,"MULTIPOLYGON (((353528.21983954014 3347652.1183728743, 354102.91551112913 3347689.9251103094, 354424.90518797026 3347209.474322315, 354172.2112567841 3346691.2104896535, 353597.515695125 3346653.390770646, 353275.5139617193 3347133.8489737394, 353528.21983954014 3347652.1183728743)))"
12,12,9997,883e60482bfffff,1889,983,906,4319,0.2,"MULTIPOLYGON (((354424.90518797026 3347209.474322315, 354999.5774137267 3347247.285119179, 355321.5575493482 3346766.8472388363, 355068.8765172777 3346248.590063344, 354494.20245820086 3346210.764111466, 354172.2112567841 3346691.2104896535, 354424.90518797026 3347209.474322315)))"
13,13,27156,883e60482dfffff,1889,983,906,4767,0.5,"MULTIPOLYGON (((352700.7959071616 3347096.034410962, 353275.5139617193 3347133.8489737394, 353597.515695125 3346653.390770646, 353344.81144535344 3346135.1105857533, 352770.0925359472 3346097.2819309784, 352448.07968565973 3346577.7475396967, 352700.7959071616 3347096.034410962)))"
14,14,23371,883e604845fffff,1890,983,906,2651,0.4,"MULTIPOLYGON (((353320.3582506112 3350648.276195973, 353895.05212924595 3350686.039565652, 354217.03423280444 3350205.574468642, 353964.3354567867 3349687.3396540945, 353389.6416036594 3349649.5621867743, 353067.6474551204 3350130.0336183086, 353320.3582506112 3350648.276195973)))"
15,15,76120,883e604847fffff,1889,983,906,794,1.4,"MULTIPOLYGON (((354217.03423280444 3350205.574468642, 354791.70568989805 3350243.3441542904, 355113.67927497544 3349762.890876458, 354860.99247893295 3349244.6627117908, 354286.3210582 3349206.8789460897, 353964.3354567867 3349687.3396540945, 354217.03423280444 3350205.574468642)))"
16,16,3592,883e60484dfffff,909,473,436,1279,0.1,"MULTIPOLYGON (((353251.0790742387 3351646.984936552, 353825.77199329785 3351684.7342188726, 354147.7525214228 3351204.265813885, 353895.05212924595 3350686.039565652, 353320.3582506112 3350648.276195973, 352998.3657159826 3351128.7531614685, 353251.0790742387 3351646.984936552)))"
17,17,96478,883e604861fffff,1889,983,906,6142,1.7,"MULTIPOLYGON (((352562.2152079033 3349093.524678941, 353136.9324307242 3349131.3099287655, 353458.9291238733 3348650.8429083247, 353206.22063298256 3348132.5820921753, 352631.50345632795 3348094.7816239633, 352309.4947165751 3348575.2571898373, 352562.2152079033 3349093.524678941)))"
18,18,19592,883e604863fffff,1889,983,906,4541,0.4,"MULTIPOLYGON (((353458.9291238733 3348650.8429083247, 354033.6238903662 3348688.634457856, 354355.61106402695 3348208.179271242, 354102.91551112913 3347689.9251103094, 353528.21983954014 3347652.1183728743, 353206.22063298256 3348132.5820921753, 353458.9291238733 3348650.8429083247)))"
19,19,7689,883e604865fffff,1889,983,906,4727,0.1,"MULTIPOLYGON (((351734.75600668986 3348537.461901204, 352309.4947165751 3348575.2571898373, 352631.50345632795 3348094.7816239633, 352378.7855775778 3347576.504436799, 351804.04503182287 3347538.6961573986, 351482.02420795104 3348019.1791638643, 351734.75600668986 3348537.461901204)))"
20,20,21782,883e604867fffff,1889,983,906,8061,0.4,"MULTIPOLYGON (((352631.50345632795 3348094.7816239633, 353206.22063298256 3348132.5820921753, 353528.21983954014 3347652.1183728743, 353275.5139617193 3347133.8489737394, 352700.7959071616 3347096.034410962, 352378.7855775778 3347576.504436799, 352631.50345632795 3348094.7816239633)))"
21,21,4866,883e604869fffff,1660,864,796,2341,0.1,"MULTIPOLYGON (((352492.93115647975 3350092.262468204, 353067.6474551204 3350130.0336183086, 353389.6416036594 3349649.5621867743, 353136.9324307242 3349131.3099287655, 352562.2152079033 3349093.524678941, 352240.20900657924 3349574.0035568257, 352492.93115647975 3350092.262468204)))"
22,22,83562,883e60486bfffff,1889,983,906,3718,1.5,"MULTIPOLYGON (((353389.6416036594 3349649.5621867743, 353964.3354567867 3349687.3396540945, 354286.3210582 3349206.8789460897, 354033.6238903662 3348688.634457856, 353458.9291238733 3348650.8429083247, 353136.9324307242 3349131.3099287655, 353389.6416036594 3349649.5621867743)))"
23,23,5240,883e60486dfffff,1320,687,633,1864,0.1,"MULTIPOLYGON (((351665.4702613633 3349536.2235042127, 352240.20900657924 3349574.0035568257, 352562.2152079033 3349093.524678941, 352309.4947165751 3348575.2571898373, 351734.75600668986 3348537.461901204, 351412.73678288853 3349017.9493503193, 351665.4702613633 3349536.2235042127)))"
24,24,402,883e604901fffff,996,518,478,98,0.0,"MULTIPOLYGON (((349390.7671192286 3344871.452976907, 349965.57579867775 3344909.300074083, 350287.62502196064 3344428.8121888647, 350034.8777122626 3343910.4686652096, 349460.0691746945 3343872.6062946734, 349138.00779712165 3344353.1027207035, 349390.7671192286 3344871.452976907)))"
25,25,574,883e604903fffff,1889,983,906,186,0.0,"MULTIPOLYGON (((350287.62502196064 3344428.8121888647, 350862.4111275176 3344466.6655556117, 351184.450725819 3343986.18953341, 350931.71540389216 3343467.8527374016, 350356.9294662747 3343429.985223268, 350034.8777122626 3343910.4686652096, 350287.62502196064 3344428.8121888647)))"
