id,Feature_ID,Vehicles_Per_Hour,geometry
vehicles_per_segment_combined_simp.1,1,180.0,"LINESTRING (330803.85832050047 3326654.6600387557, 330806.7245532805 3326661.267723388, 330841.3428802282 3326692.5536129978, 330929.090815568 3326786.326333239, 331005.81960746745 3326892.6074684225)"
vehicles_per_segment_combined_simp.2,2,1.0,"LINESTRING (330803.85832050047 3326654.6600387557, 330794.56122571067 3326641.6102489387, 330691.22415805387 3326531.337831314, 330735.08386714803 3326473.5707053095, 330769.84303040674 3326463.7247040374)"
vehicles_per_segment_combined_simp.3,3,465.0,"LINESTRING (331005.81960746745 3326892.6074684225, 331111.3154139733 3326941.2882011407, 331255.629862365 3327007.589980734, 331226.2660039539 3326985.534781194)"
vehicles_per_segment_combined_simp.4,4,10.0,"LINESTRING (331005.81960746745 3326892.6074684225, 330997.39737734676 3326851.241245463, 330921.07454007387 3326779.2433124282, 330809.31069071987 3326660.1194160613, 330810.9497531883 3326641.2478365717, 330803.6054120947 3326602.5591062317, 330769.64509668155 3326463.3951586555, 330753.65147368016 3326363.865518977, 330761.3647969617 3326175.2829377577, 330749.65318246966 3325914.9387929183, 330972.1612478087 3325897.113602289, 330979.90879180597 3325899.2120589875, 330985.7789104498 3325904.665131257, 330990.6848289942 3325910.132985657, 330993.69633242127 3325917.8471006732, 330994.32491635357 3325958.8560649324, 331019.8015298478 3325985.072244, 331014.7884306301 3325981.732337045)"
vehicles_per_segment_combined_simp.5,5,6.0,"LINESTRING (331005.81960746745 3326892.6074684225, 331011.76303104416 3326951.6829810594, 331081.9848884094 3326996.946542349, 331135.6361620286 3327024.3940174533, 331265.9019070532 3327080.157594058, 331530.37534447096 3327197.5045044413, 331557.59795981203 3327199.4164840835, 331584.58384322806 3327204.7688364587, 331601.78521288774 3327213.4857219197, 331611.89302727155 3327224.9716750532, 331617.12636992114 3327239.303633395, 331615.9443137405 3327250.296923682, 331605.60562996974 3327280.4982006424, 331578.6315259724 3327339.001530502, 331598.89180901955 3327337.5833073575)"
vehicles_per_segment_combined_simp.6,6,7.0,"LINESTRING (331005.81960746745 3326892.6074684225, 331012.8121663679 3326862.8670554673, 331017.91892493976 3326843.7206344237, 331027.5026695819 3326820.9580264646, 331035.3264246056 3326809.1976668746, 331020.1527550488 3326762.9794327174, 331004.55351515603 3326751.9107400314, 331008.3821147653 3326745.000820179)"
vehicles_per_segment_combined_simp.7,7,13.0,"LINESTRING (331005.81960746745 3326892.6074684225, 330885.0436441423 3326863.274608673, 330959.2303854794 3326896.614461495, 330993.9821420477 3326917.8103499394, 331062.63071212906 3326979.948830811, 331088.07399852504 3326997.85097383, 331126.47006612225 3327017.7719249725, 331370.8795831936 3327121.8975868896, 331491.5577783864 3327175.1497287476, 331550.7243514947 3327203.955979186, 331563.8749305976 3327212.6238616146, 331583.32769516355 3327229.8426011545, 331599.2133218179 3327247.1158782663, 331619.92119304964 3327277.064502286, 331630.68199444277 3327299.7374438867, 331657.2256798117 3327383.4753693305, 331672.7915675897 3327417.7153377915, 331682.36301992147 3327431.9810582204, 331704.64153518947 3327457.4713889402, 331732.0699901121 3327479.224711642, 331762.7929890708 3327495.717338169, 331878.8918214684 3327533.6336447084)"
vehicles_per_segment_combined_simp.8,8,152.0,"LINESTRING (330148.54884381004 3326052.79267934, 330094.6433866784 3326054.388183443, 330183.2559744953 3326153.4636208047, 330200.57002320455 3326171.378254907)"
vehicles_per_segment_combined_simp.9,9,195.0,"LINESTRING (330148.54884381004 3326052.79267934, 330220.8056850757 3326024.1750260335, 330389.30052916653 3326206.720410471, 330594.73459725565 3326427.501868309, 330608.3195386391 3326423.154662573)"
vehicles_per_segment_combined_simp.10,10,38.0,"LINESTRING (330148.54884381004 3326052.79267934, 330216.0709260795 3326023.58276598, 330332.3910365999 3326143.4072464756)"
vehicles_per_segment_combined_simp.11,11,42.0,"LINESTRING (330148.54884381004 3326052.79267934, 330125.1743032153 3326089.2826016084, 330183.2559744953 3326153.4636208047, 330292.1690636913 3326268.3021013224, 330388.6568726324 3326378.011343236)"
vehicles_per_segment_combined_simp.12,12,162.0,"LINESTRING (330200.57002320455 3326171.378254907, 330183.2559744953 3326153.4636208047, 330286.10421976756 3326262.7415218083, 330282.48816222104 3326265.9013117515, 330315.00765841204 3326304.756596228, 330318.4794632886 3326311.0222688606, 330324.8931460312 3326332.985004872, 330342.5731846158 3326322.5136467675)"
vehicles_per_segment_combined_simp.13,13,180.0,"LINESTRING (333875.4678006522 3327969.4629437784, 333874.55450487504 3327969.6430038363, 333954.0744627301 3327986.9578481195, 333953.92986261024 3327986.9600273627)"
vehicles_per_segment_combined_simp.14,14,6.0,"LINESTRING (333953.92986261024 3327986.9600273627, 333953.7852624904 3327986.9622066077, 334018.6738604886 3328005.939194368, 334043.90477833385 3328016.6450736546, 334105.0872339588 3328045.655733938, 334161.5995416969 3328084.7143664723, 334194.80893228634 3328113.0379962465, 334260.56334865687 3328189.6502249013, 334347.5576463209 3328268.1605905956, 334359.25865884585 3328276.853405477, 334397.3701256148 3328310.6468519554, 334412.9102732579 3328318.1734145903, 334429.3810522624 3328323.468823415, 334446.765814644 3328325.4247395964, 334464.10060603585 3328324.055653052, 334496.759002731 3328315.8048104485, 334510.52198242437 3328301.823781594)"
vehicles_per_segment_combined_simp.15,15,202.0,"LINESTRING (333953.92986261024 3327986.9600273627, 333954.0744627301 3327986.9578481195, 334019.2689570354 3328007.038824931, 334020.69720176084 3328002.638355474)"
vehicles_per_segment_combined_simp.16,16,174.0,"LINESTRING (333493.04463848716 3327869.7525327327, 333573.10569513764 3327897.2556345128)"
vehicles_per_segment_combined_simp.17,17,174.0,"LINESTRING (333573.10569513764 3327897.2556345128, 333690.619590187 3327940.2685682843, 333706.3385286045 3327946.7937553045)"
vehicles_per_segment_combined_simp.18,18,162.0,"LINESTRING (330342.5731846158 3326322.5136467675, 330435.6019699663 3326426.8442683504, 330512.8731509722 3326503.7024749103, 330513.61280615546 3326507.903838642)"
vehicles_per_segment_combined_simp.19,19,17.0,"LINESTRING (330513.61280615546 3326507.903838642, 330514.3524608953 3326512.105202419, 330679.4653789726 3326688.719875225, 330726.60753013333 3326737.9943186804, 330778.2738152432 3326786.7560392814, 330830.68141719175 3326846.149286857, 331005.81960746745 3326892.6074684225)"
vehicles_per_segment_combined_simp.20,20,98.0,"LINESTRING (330513.61280615546 3326507.903838642, 330512.8731509722 3326503.7024749103, 330638.26466883754 3326637.026234615, 330727.22965261294 3326734.548062451, 330740.1285040194 3326724.6684649047)"
vehicles_per_segment_combined_simp.21,21,86.0,"LINESTRING (330513.61280615546 3326507.903838642, 330512.8731509722 3326503.7024749103, 330592.0081627914 3326588.9579902003, 330595.3407322207 3326592.454341406, 330588.49604633125 3326592.6038755323)"
vehicles_per_segment_combined_simp.22,22,166.0,"LINESTRING (330151.9077471827 3327260.900801414, 330411.4697022486 3327108.5706976713, 330467.15361941844 3327079.99861564)"
vehicles_per_segment_combined_simp.23,23,30.0,"LINESTRING (330151.9077471827 3327260.900801414, 330248.9065162496 3327203.864578037, 330167.85351865424 3327087.932397106, 330259.43109885254 3327029.4278513454, 330282.9355521481 3327046.5820402326, 330342.6691782818 3326867.618586539, 330566.62159685424 3326932.464424818, 330765.0137768283 3327066.097485454)"
vehicles_per_segment_combined_simp.24,24,46.0,"LINESTRING (330467.15361941844 3327079.99861564, 330700.5622662833 3327007.4549603467, 330765.0137768283 3327066.097485454)"
vehicles_per_segment_combined_simp.25,25,179.0,"LINESTRING (336635.3653063561 3326610.9631791436, 336665.9396630358 3326615.683836361, 336819.943063115 3326706.9668612094, 336863.4613245377 3326741.42024162)"
vehicles_per_segment_combined_simp.26,26,21.0,"LINESTRING (336635.3653063561 3326610.9631791436, 336610.97275276063 3326622.1521887686, 336990.49585466937 3326848.1147729806, 337316.3690515462 3327033.531527423, 337342.6327768109 3327042.4559126, 337561.97284204507 3327171.030344603, 337715.4148882041 3327264.5504649417)"
vehicles_per_segment_combined_simp.27,27,6.0,"LINESTRING (336863.4613245377 3326741.42024162, 336887.8769874028 3326749.1958641317, 336898.4000607594 3326743.49726629, 336937.40340819553 3326707.445763411, 336982.9098738403 3326654.669601451, 336979.8125191089 3326673.450340194)"
vehicles_per_segment_combined_simp.28,28,57.0,"LINESTRING (336863.4613245377 3326741.42024162, 336888.2691868874 3326749.6334909797, 336898.41318079474 3326744.383933321, 336937.4198041032 3326708.5540970336, 336983.39848298545 3326655.105805804, 337116.0550819 3326522.3329261057, 337148.7867946906 3326492.472100766, 337190.4992536813 3326443.854696, 337207.51630805014 3326420.766758367, 337224.920581467 3326391.243405414, 337242.48819513724 3326353.1816568477, 337255.6896396263 3326319.8404088174, 337237.0934233436 3326344.2818571744)"
vehicles_per_segment_combined_simp.29,29,18.0,"LINESTRING (336863.4613245377 3326741.42024162, 336888.2691868874 3326749.6334909797, 336947.36341731343 3326781.018742036)"
vehicles_per_segment_combined_simp.30,30,53.0,"LINESTRING (336863.4613245377 3326741.42024162, 336830.712557118 3326750.48536295, 336991.721304632 3326846.2120702546, 337015.62799793296 3326858.718018336, 337193.0508231068 3326962.6299494593)"
vehicles_per_segment_combined_simp.31,31,157.0,"LINESTRING (336863.4613245377 3326741.42024162, 336890.5046522721 3326750.8198450133, 337079.59098106774 3326854.2249407987)"
vehicles_per_segment_combined_simp.32,32,5.0,"LINESTRING (329787.09607690043 3327342.26683093, 329782.0396127254 3327332.237637103, 329794.1401178348 3327316.5300577674, 329803.1031010801 3327291.2259514146, 329837.3975891989 3327151.564569196, 329921.8430575719 3326999.7105964115, 329964.5361352903 3326929.208894394, 329988.44599613 3326897.5770235863, 330019.69010612706 3326866.2755543822, 330088.12320831825 3326807.683162513, 330094.3138425364 3326796.3906969484, 330094.0458464876 3326791.516909993, 330087.9801904011 3326779.6373380586, 330036.82120369445 3326782.7541603786, 330020.62123619614 3326776.5739817815, 330000.5842474913 3326765.46422025, 329993.9205129661 3326758.5826995336, 329989.9511910627 3326751.3270392157, 329984.44062234194 3326731.6786272028, 329983.8652151773 3326719.381839317, 329986.7904142266 3326702.707448094, 329994.3800347692 3326682.0809558043, 330038.7109983014 3326592.597054069, 330114.9890494408 3326429.6740075066, 330161.9912023542 3326444.5812816513, 330197.66579008463 3326331.396301028, 330286.10421976756 3326262.7415218083, 330214.71296796127 3326185.905038197, 330200.57002320455 3326171.378254907)"
