Terminal_ID,Terminal_Name,Population_2018,Jobs_In_Hex,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio
1,Al Sayeda Aisha,14456.0,3585.0,5.0,4269.337518907476,853.8675037814952
2,Smart Village,,,11.0,11.0,1.0
3,10th District (6th of October),3026.0,3754.0,32.0,438.0,13.6875
4,Hossary,2994.0,3273.0,29.0,155.0,5.344827586206897
6,Al Shorouq,1434.0,165.0,10.0,166.0,16.6
7,Rawda Mosque  (Obour),1889.0,4330.0,30.0,0.0,0.0
9,Remaya (New Mashaal),27066.0,5167.0,97.0,720.6086047387386,7.428954688028233
10,Ommal Square,2795.0,3138.0,161.0,990.0,6.149068322981367
13,Magda Square,1486.0,3503.0,267.0,550.0,2.059925093632959
14,Total  (6th of October),0.0,2994.0,0.0,0.0,
15,Shabab (Obour),1889.0,794.0,52.0,283.0,5.4423076923076925
16,Dawaran Shubra,48302.0,15516.0,511.0,1527.6432382684338,2.989517100329616
19,Alf Masnaa,2.0,230.0,2.0,158.0,79.0
20,Alf Maskan,16323.0,6621.0,593.0,6646.837208926379,11.208831718256963
22,Helwan University (Ain Helwan),3292.0,1177.0,0.0,0.0,
23,Traffic Department  (Kattameya),5018.0,1310.0,0.0,0.0,
24,Isaaf,13087.0,47848.0,252.0,2107.8028145827107,8.364296883264725
25,3rd Settlement  (New Cairo),4569.0,1917.0,36.0,316.0,8.777777777777779
26,Mehwar & Alex Desert Rd,567.0,9.0,326.0,2335.9907041055694,7.16561565676555
27,Darrasa,10710.0,2638.0,55.0,1261.0,22.927272727272726
28,Amr Ibn El Aas,28728.0,6245.0,28.0,430.0,15.357142857142858
29,Abd Al Moneim Riad,,,1336.0,4284.347820262158,3.2068471708549087
30,Abou Al Reesh,17062.0,30218.0,0.0,0.0,
31,FUE,1615.0,1433.0,8.0,329.24068607842855,41.15508575980357
32,Haram Mashaal,21491.0,5007.0,71.0,612.4946798628912,8.626685631871707
33,Rehab - Gate 13 - 12,1847.0,1212.0,15.0,185.0,12.333333333333334
34,Lebanon Square,40033.0,27086.0,171.0,1118.0267023643942,6.538167850084176
35,Masraweya,1457.0,1325.0,25.0,596.2406860784286,23.84962744313714
36,Sheikh Zayed General Hospital,1824.0,3007.0,26.0,370.93731731297885,14.266819896653033
38,Helwan Ferry,,,0.0,0.0,
39,Badr (Sheikh Zayed),1825.0,100.0,16.0,175.93731731297888,10.99608233206118
40,10th District (Nasr City),5982.0,2481.0,8.0,88.0,11.0
42,Saqr Quraish,4417.0,3254.0,384.0,5732.0,14.927083333333334
44,Al Muluk,18511.0,4492.0,0.0,0.0,
45,Al Zawya Al Hamra,58484.0,7754.0,14.0,307.0,21.928571428571427
46,Rehab - Gate 6,2057.0,1042.0,18.0,50.0,2.7777777777777777
47,Ahmed Helmy,43767.0,24212.0,115.0,1326.5309166082914,11.535051448767751
