Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
P_O_14_IG076,Microbus,29.3206537162238,14
p3-8qu3UivDvTp0cckEVG,Microbus,3.29503026323094,14
CTA_M_112,Minibus,24.2944965687775,33
P_O_14_CA033,Microbus,14.3108216607681,14
P_O_14_IC008,Microbus,58.990680842686,14
P_B_8_NC011,Tomnaya,5.92956932365129,7
FptsKvc-vW3cBoVWdYDUL,Bus,17.575369677229,49
COOP_IC024,Minibus,24.0336103008042,33
yW2PB6nRIGF3AW92oa9Kq,Tomnaya,2.82457673993069,7
5uY9vir47u3ABX4ON8Tf3,Microbus,7.56856085388059,14
P_O_14_GZ016,Microbus,4.86482697460741,14
P_O_14_GZ032,Microbus,1.89114937239162,14
iPmb6Kx9epuWwMHetjCnF,Microbus,20.082710977962,14
P_O_14_IC023,Microbus,25.1603662684448,14
FptsKvc-vW3cBoVWdYDUL,Bus,17.6885111170875,49
P_O_14_IC051,Microbus,12.3168539104045,14
s9b5Iic4NtV_eorQzj73e,Microbus,19.7856198042068,14
LNhgToq2DsZoXTXPK8G9d,Microbus,38.2511545624043,14
WiQa8bXpeSlLhEC1SUwGb,Microbus,18.4237121108117,14
COOP_IG080,Minibus,11.5096742696312,33
I30E1wTMc3MAmoOQniW3h,Microbus,11.9421937173256,14
P_O_14_IG066,Microbus,9.71139716805037,14
Ci3EuISJ24C8rXJIGK05p,Microbus,17.8042516558343,14
CTA_1145,Bus,25.5446555528358,49
LNhgToq2DsZoXTXPK8G9d,Microbus,43.1408457194291,14
WLDxjQ-KCsznJV1tiaAUM,Microbus,18.0848337343574,14
kRpR7tVa5mkJF71MQgxHN,Microbus,30.1627414472934,14
P_B_8_CA148,Tomnaya,4.43334638109637,7
CTA_1025,Bus,40.9431066884077,49
CTA_317,Bus,46.6290219988255,49
CTA_1107,Bus,40.6586742098137,49
P_B_8_6O026,Tomnaya,8.7681838152169,7
CYBtB1fCo1hBspOu6rrgm,Microbus,16.8080444561931,14
Eib3Hm9Na_KFRfgk0ykjn,Microbus,25.6067202758927,14
BOX_6O006,Box,4.99588813936655,10
CTA_1018,Bus,30.1941927031394,49
2EAwBcn3IACPZ0xefVHUM,Microbus,72.5533113213411,14
CTA_1009,Bus,22.6995194900086,49
CTA_912-1048,Bus,24.2501969108575,49
wMjyQ7gRXkx7VXHzsFwCf,Microbus,4.09108825754849,14
P_O_14_GZ007,Microbus,16.793814741565,14
P_O_14_CA011,Microbus,4.56485074733947,14
3tz5zeyxwhFrOyUkh7Ywp,Microbus,59.347747938196,14
CTA_794,Bus,28.8746640667623,49
CTA_1005,Bus,33.9979628553292,49
mwUKKpciQEKn_H2kOT4BD,Microbus,4.48629206959701,14
1FhB0pHnV9BOvKm0Ob-wB,Microbus,54.3286788938778,14
EwqAOaw248bX7cqrouzx3,Microbus,5.80921386067566,14
6rjmU4VqdB1ooUUa9jZiN,Minibus,34.1439441199401,33
CYBtB1fCo1hBspOu6rrgm,Microbus,20.5254976120556,14
dJMk38hnkQqjWUx8GExQu,Microbus,29.6475477034745,14
ZDNaajF6Sze97Dcd-UimA,Minibus,19.8828159492281,33
dQV3G9JYKsRk7qTtx6qZF,Microbus,46.5777204049679,14
CTA_1073,Bus,18.2526906748195,49
eNaYFATGV4nFM2ODEQGb5,Microbus,7.17481011686011,14
GX87T1pzMtRxYekSSN02o,Microbus,46.3062259191287,14
P_O_14_IG089,Microbus,4.87583355561804,14
CTA_65,Bus,25.3977627039147,49
s2yaV54cOOS0xeyQpkTZl,Bus,35.3069653803062,49
CTA_317,Bus,45.0963135416143,49
BOX_6O022,Box,3.05144997837579,10
49Lt1kKFfGCSPZKc8R4LQ,Microbus,70.3709605012296,14
Dy5kofrNjrAu73mDsw5Vk,Microbus,38.0674245155892,14
CTA_1083,Bus,45.6255571152038,49
CTA_990,Bus,31.5154486139099,49
CTA_1063,Bus,17.4431952052232,49
CTA_1053,Bus,22.1862814176816,49
aPqU-5Zq_31ywCFAxL2wE,Microbus,8.47888556720631,14
8zZN-__0-7PufjS2ZVRSA,Microbus,36.3756848633987,14
S7vV1gLrYMRDA3sRxXeNY,Bus,14.2979742157726,49
krefFO7pEgU4JkYMwWveO,Microbus,22.1590696278819,14
5n-gry5iuNS4TUoZAFqXI,Minibus,21.8454981797112,33
INAVDyd7BcSqbkwQ6JoJO,Microbus,61.2904372104808,14
CTA_1019,Bus,34.5922392207524,49
CTA_1047,Bus,32.1843223098776,49
CTA_1005,Bus,32.6085620761702,49
COOP_QA005,Minibus,5.2516332160138,33
CTA_1021,Bus,27.5740739608215,49
CTA_975,Bus,21.3161748818429,49
CTA_1018,Bus,30.4909693569241,49
CTA_44S-1042,Bus,16.2885859302351,49
P_O_14_CA139,Microbus,8.0976837498972,14
ht0GgjSAbF0kdmnExj5Yz,Microbus,2.58370079829404,14
PqnyKZvgBfy2DlGQ-9usu,Microbus,36.0512184780071,14
CTA_1118,Bus,34.9352749220035,49
P_O_14_GZ052,Microbus,3.40788321354731,14
CTA_1148,Bus,29.5329899371246,49
0Ey4XgPAt58ikVvQZvr-a,Microbus,53.1009901682549,14
CTA_1019,Bus,26.126037871409,49
CTA_530,Bus,38.0077354923831,49
1uALlQYE7WZs28gRvdky_,Microbus,41.6620029300509,14
COOP_GZ028,Minibus,4.57308923227942,33
8jTTZgEIrhAYkvpLjD0fe,Minibus,23.2389502795679,33
y4xb6nE-WNerPhWcnvsM0,Minibus,42.0706138316971,33
vUkl6qQJBMrkeq2TumXP0,Microbus,43.8978796512885,14
CTA_1083,Bus,49.5662301923732,49
CTA_945-1082,Bus,27.5830555812376,49
WLDxjQ-KCsznJV1tiaAUM,Microbus,17.877956527775,14
