Stop_Name,Total_Daily_Alighting,geometry,Near_Route,Label
(Mostorod Bridge) Ring Road,452.0,POINT (336683.6846991951 3338102.9075534586),True,Near Route (≤120m)
10 St. Steps (Ring Rd.),45.0,POINT (326850.2233298273 3331922.583349377),True,Near Route (≤120m)
10th District (Nasr City),8875.0,POINT (343729.3272537765 3325311.5011734497),True,Near Route (≤120m)
10th District (Shorouq City),238.0,POINT (370675.00373172376 3334452.4207521128),True,Near Route (≤120m)
10th District Station (6th of October),192.0,POINT (298870.79926975304 3316662.1063622423),True,Near Route (≤120m)
10th District Station (Nasr City),3137.0,,False,Far from Route (>120m)
10th of Ramadan,1144.0,POINT (346739.93796078017 3337023.283947667),True,Near Route (≤120m)
10th of Ramadan (Ismailiya Desert Rd.),58.0,POINT (348112.3889636217 3336306.762586671),True,Near Route (≤120m)
10th of Ramadan City,2608.0,POINT (379198.89726746746 3352156.7564057047),True,Near Route (≤120m)
11th District Exit (Sheikh Zayed),29.0,POINT (304954.73711266345 3325945.7243389203),True,Near Route (≤120m)
15th of May School (Mostorod),6351.0,POINT (334598.29402291565 3334668.1563400677),True,Near Route (≤120m)
1st Settlement Authority,1234.0,POINT (350396.45189477 3325575.7485149703),True,Near Route (≤120m)
1st Settlement Station,155.0,POINT (350510.0958196736 3326954.7732920987),True,Near Route (≤120m)
20 St. & Al Mostaqbal St. (Sheikh Zayed),24.0,POINT (304910.9684402314 3325730.426719924),True,Near Route (≤120m)
26th of July Corridor & Alex Desert Rd.,72.0,POINT (312151.1531222211 3325605.2542601344),True,Near Route (≤120m)
26th of July Corridor Exit to Alex Desert Rd.,226.0,POINT (312039.520748277 3325770.7588304672),True,Near Route (≤120m)
26th of July Mehwar Steps to Ard Al Lewa,617.0,,False,Far from Route (>120m)
2nd Nasr City Police Station,750.0,POINT (337282.8641703208 3325583.472137986),True,Near Route (≤120m)
3rd Settlement Station,1247.0,POINT (349735.64198420744 3318035.910316419),True,Near Route (≤120m)
5th Settlement Authority,145.0,POINT (347370.7737382131 3319080.8083691723),True,Near Route (≤120m)
5th Settlement Police Station,88.0,POINT (348238.545380649 3319579.8025213326),True,Near Route (≤120m)
6 October Bridge (Mostorod),53.0,POINT (335602.863639366 3335301.555479314),True,Near Route (≤120m)
6th District (6th of October),848.0,POINT (298972.1812370875 3313018.6300131073),True,Near Route (≤120m)
6th Of October City Authority,110.0,POINT (302466.75334306434 3318637.153934277),True,Near Route (≤120m)
6th of October Garden (Helwan),84.0,POINT (338611.38942641125 3302269.6859928058),True,Near Route (≤120m)
6th of October Panorama,254.0,POINT (336518.37790932774 3328214.8836083226),True,Near Route (≤120m)
6th Of October University,337.0,POINT (302198.6414972049 3317860.873544636),True,Near Route (≤120m)
7 Omarat,180.0,POINT (339667.291528333 3329701.535492211),True,Near Route (≤120m)
7th District (Nasr City),771.0,POINT (338932.98693880136 3324610.9528224305),True,Near Route (≤120m)
7th District Entrance (6th of October),1030.0,POINT (301307.13784538716 3318070.1541952374),True,Near Route (≤120m)
7th District Station (Nasr City),1990.0,POINT (338916.7634759745 3324801.434355451),True,Near Route (≤120m)
8th District (6th of October),28.0,POINT (300448.9239104808 3317798.9576600967),True,Near Route (≤120m)
8th District (Nasr City),3788.0,POINT (343875.6900926082 3326695.7839542874),True,Near Route (≤120m)
8th District (Shorouq City),122.0,POINT (365705.9921143822 3337762.391171253),True,Near Route (≤120m)
