Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
(Mostorod Bridge) Ring Road,174.0,106.0,278.0,370.0,280.0,648.0,POINT (336683.6846991951 3338102.9075534586),0.6214285714285714,0.42901234567901236,0.6214285714285714,0.42901234567901236,Formal,Informal,True
10 St. Steps (Ring Rd.),14.0,31.0,14.0,31.0,45.0,45.0,POINT (326850.2233298273 3331922.583349377),0.3111111111111111,0.3111111111111111,0.3111111111111111,0.3111111111111111,Informal,Informal,False
10th District (Nasr City),2850.0,5140.0,5346.0,14812.0,7990.0,20158.0,POINT (343729.3272537765 3325311.5011734497),0.3566958698372966,0.26520488143665044,0.3566958698372966,0.26520488143665044,Informal,Informal,False
10th District (Shorouq City),156.0,0.0,412.0,0.0,156.0,412.0,POINT (370675.00373172376 3334452.4207521128),1.0,1.0,1.0,1.0,Formal,Formal,False
10th District Station (6th of October),138.0,0.0,430.0,0.0,138.0,430.0,POINT (298870.79926975304 3316662.1063622423),1.0,1.0,1.0,1.0,Formal,Formal,False
10th District Station (Nasr City),676.0,1274.0,1388.0,2282.0,1950.0,3670.0,,0.3466666666666667,0.3782016348773842,0.3466666666666667,0.3782016348773842,Informal,Informal,False
10th of Ramadan,90.0,1376.0,230.0,2176.0,1466.0,2406.0,POINT (346739.93796078017 3337023.283947667),0.061391541609822645,0.09559434746467166,0.061391541609822645,0.09559434746467166,Informal,Informal,False
10th of Ramadan (Ismailiya Desert Rd.),39.0,0.0,119.0,0.0,39.0,119.0,POINT (348112.3889636217 3336306.762586671),1.0,1.0,1.0,1.0,Formal,Formal,False
10th of Ramadan City,0.0,4416.0,0.0,6976.0,4416.0,6976.0,POINT (379198.89726746746 3352156.7564057047),0.0,0.0,0.0,0.0,Informal,Informal,False
11th District Exit (Sheikh Zayed),5.0,0.0,29.0,0.0,5.0,29.0,POINT (304954.73711266345 3325945.7243389203),1.0,1.0,1.0,1.0,Formal,Formal,False
15th of May School (Mostorod),1031.0,4724.0,1559.0,6056.0,5755.0,7615.0,POINT (334598.29402291565 3334668.1563400677),0.1791485664639444,0.20472751149047932,0.1791485664639444,0.20472751149047932,Informal,Informal,False
1st Settlement Authority,1219.0,0.0,1635.0,0.0,1219.0,1635.0,POINT (350396.45189477 3325575.7485149703),1.0,1.0,1.0,1.0,Formal,Formal,False
1st Settlement Station,155.0,0.0,155.0,0.0,155.0,155.0,POINT (350510.0958196736 3326954.7732920987),1.0,1.0,1.0,1.0,Formal,Formal,False
