Stop_Name,board_daily_int_cta_morning,board_daily_int_p_o_14_morning,board_daily_int_cta_m_morning,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_cta_evening,board_daily_int_p_o_14_evening,board_daily_int_cta_m_evening,board_daily_int_coop_evening,board_daily_int_p_b_8_evening,Total_Morning_Boarding,Total_Evening_Boarding
(Mostorod Bridge) Ring Road,148.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,148.0,48.0
10 St. Steps (Ring Rd.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th District (Nasr City),104.0,2898.0,893.0,0.0,0.0,480.0,6272.0,636.0,0.0,0.0,3895.0,7388.0
10th District (Shorouq City),78.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,78.0,96.0
10th District Station (6th of October),138.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,138.0,100.0
10th District Station (Nasr City),40.0,0.0,265.0,0.0,0.0,56.0,0.0,172.0,0.0,0.0,305.0,228.0
10th of Ramadan,72.0,602.0,0.0,0.0,0.0,140.0,448.0,0.0,0.0,0.0,674.0,588.0
10th of Ramadan (Ismailiya Desert Rd.),13.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,13.0,48.0
10th of Ramadan City,0.0,2576.0,0.0,0.0,0.0,0.0,1792.0,0.0,0.0,0.0,2576.0,1792.0
11th District Exit (Sheikh Zayed),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th of May School (Mostorod),139.0,0.0,705.0,0.0,0.0,64.0,0.0,356.0,0.0,0.0,844.0,420.0
1st Settlement Authority,87.0,0.0,194.0,0.0,0.0,44.0,0.0,76.0,0.0,0.0,281.0,120.0
1st Settlement Station,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 St. & Al Mostaqbal St. (Sheikh Zayed),9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
26th of July Corridor & Alex Desert Rd.,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,216.0
26th of July Corridor Exit to Alex Desert Rd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26th of July Mehwar Steps to Ard Al Lewa,283.0,2338.0,0.0,0.0,0.0,528.0,760.0,0.0,0.0,0.0,2621.0,1288.0
2nd Nasr City Police Station,237.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,237.0,160.0
3rd Settlement Station,250.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,250.0,436.0
5th Settlement Authority,72.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,72.0,20.0
5th Settlement Police Station,63.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,99.0,36.0
6 October Bridge (Mostorod),72.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,107.0,20.0
6th District (6th of October),0.0,426.0,0.0,0.0,651.0,0.0,312.0,0.0,0.0,204.0,1077.0,516.0
6th Of October City Authority,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
6th of October Garden (Helwan),0.0,336.0,0.0,0.0,0.0,0.0,1648.0,0.0,0.0,0.0,336.0,1648.0
6th of October Panorama,0.0,0.0,20.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,20.0,32.0
6th Of October University,0.0,1243.0,0.0,0.0,0.0,44.0,1132.0,0.0,0.0,0.0,1243.0,1176.0
7 Omarat,91.0,0.0,23.0,0.0,0.0,256.0,0.0,48.0,0.0,0.0,114.0,304.0
7th District (Nasr City),22.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,22.0,60.0
7th District Entrance (6th of October),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th District Station (Nasr City),910.0,0.0,1361.0,0.0,0.0,552.0,0.0,1788.0,0.0,0.0,2271.0,2340.0
8th District (6th of October),0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,76.0
8th District (Nasr City),891.0,0.0,2174.0,0.0,0.0,432.0,0.0,648.0,0.0,0.0,3065.0,1080.0
8th District (Shorouq City),39.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,39.0,160.0
Aba Al Kassem Mosque (Autostrad),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abageyya Bridge,62.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,62.0,108.0
Abbas Al Akkad & Mostafa Al Nahas,0.0,0.0,61.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,61.0,308.0
Abbaseya,1860.0,3724.0,2304.0,0.0,0.0,984.0,2464.0,832.0,0.0,0.0,7888.0,4280.0
Abbaseya Bridge Entrance,536.0,379.0,631.0,0.0,0.0,336.0,1512.0,308.0,0.0,0.0,1546.0,2156.0
Abbaseya Bridge Exit,36.0,5.0,41.0,0.0,0.0,24.0,52.0,452.0,0.0,0.0,82.0,528.0
Abbaseya Hospital,66.0,335.0,223.0,0.0,0.0,188.0,0.0,132.0,0.0,0.0,624.0,320.0
