Stop_Name,Daily_All_BA,geometry,Neighbor_Mean_BA,Quadrant
(Mostorod Bridge) Ring Road,648.0,POINT (336683.6846991951 3338102.9075534586),2022.625,LL
10 St. Steps (Ring Rd.),45.0,POINT (326850.2233298273 3331922.583349377),5033.75,LH (outlier)
10th District (Nasr City),20158.0,POINT (343729.3272537765 3325311.5011734497),5446.75,HH (cluster)
10th District (Shorouq City),412.0,POINT (370675.00373172376 3334452.4207521128),209.0,LL
10th District Station (6th of October),430.0,POINT (298870.79926975304 3316662.1063622423),552.75,LL
10th District Station (Nasr City),3670.0,,,LL
10th of Ramadan,2406.0,POINT (346739.93796078017 3337023.283947667),4959.933633671125,HH (cluster)
10th of Ramadan (Ismailiya Desert Rd.),119.0,POINT (348112.3889636217 3336306.762586671),3878.740229527938,LH (outlier)
10th of Ramadan City,6976.0,POINT (379198.89726746746 3352156.7564057047),843.375,HL (outlier)
11th District Exit (Sheikh Zayed),29.0,POINT (304954.73711266345 3325945.7243389203),56.75,LL
15th of May School (Mostorod),7615.0,POINT (334598.29402291565 3334668.1563400677),4449.625,HH (cluster)
1st Settlement Authority,1635.0,POINT (350396.45189477 3325575.7485149703),1972.625,HL (outlier)
1st Settlement Station,155.0,POINT (350510.0958196736 3326954.7732920987),2019.125,LL
20 St. & Al Mostaqbal St. (Sheikh Zayed),33.0,POINT (304910.9684402314 3325730.426719924),227.75,LL
26th of July Corridor & Alex Desert Rd.,288.0,POINT (312151.1531222211 3325605.2542601344),2888.5,LH (outlier)
26th of July Corridor Exit to Alex Desert Rd.,226.0,POINT (312039.520748277 3325770.7588304672),3112.875,LH (outlier)
26th of July Mehwar Steps to Ard Al Lewa,4526.0,,,LL
2nd Nasr City Police Station,1147.0,POINT (337282.8641703208 3325583.472137986),882.625,LL
3rd Settlement Station,1933.0,POINT (349735.64198420744 3318035.910316419),571.25,HL (outlier)
5th Settlement Authority,237.0,POINT (347370.7737382131 3319080.8083691723),509.625,LL
5th Settlement Police Station,223.0,POINT (348238.545380649 3319579.8025213326),786.625,LL
6 October Bridge (Mostorod),180.0,POINT (335602.863639366 3335301.555479314),3907.875,LH (outlier)
6th District (6th of October),2441.0,POINT (298972.1812370875 3313018.6300131073),1018.75,HL (outlier)
6th Of October City Authority,138.0,POINT (302466.75334306434 3318637.153934277),1585.625,LL
6th of October Garden (Helwan),2068.0,POINT (338611.38942641125 3302269.6859928058),5166.75,HH (cluster)
6th of October Panorama,306.0,POINT (336518.37790932774 3328214.8836083226),2645.75,LH (outlier)
6th Of October University,2756.0,POINT (302198.6414972049 3317860.873544636),1258.375,HL (outlier)
7 Omarat,598.0,POINT (339667.291528333 3329701.535492211),818.75,LL
7th District (Nasr City),853.0,POINT (338932.98693880136 3324610.9528224305),4872.75,LH (outlier)
7th District Entrance (6th of October),1030.0,POINT (301307.13784538716 3318070.1541952374),1342.75,LL
7th District Station (Nasr City),6601.0,POINT (338916.7634759745 3324801.434355451),4053.375,HH (cluster)
8th District (6th of October),104.0,POINT (300448.9239104808 3317798.9576600967),488.25,LL
8th District (Nasr City),7933.0,POINT (343875.6900926082 3326695.7839542874),6884.0,HH (cluster)
8th District (Shorouq City),321.0,POINT (365705.9921143822 3337762.391171253),221.5,LL
Aba Al Kassem Mosque (Autostrad),422.0,POINT (334766.9470261298 3312589.1626390778),762.0,LL
Abageyya Bridge,410.0,,,LL
Abbas Al Akkad & Mostafa Al Nahas,847.0,,,LL
Abbaseya,23013.0,POINT (334708.14213740785 3328134.2365397993),5318.375,HH (cluster)
Abbaseya Bridge Entrance,7640.0,POINT (335145.33212300076 3327804.4436203386),7088.375,HH (cluster)
Abbaseya Bridge Exit,1633.0,POINT (334581.2611885346 3328377.9515734212),7998.0,HH (cluster)
Abbaseya Hospital,1747.0,POINT (335629.82415799226 3327876.0037027537),5285.375,HH (cluster)
Abbaseya Square,20073.0,POINT (334739.54005609447 3328212.24604341),5685.875,HH (cluster)
Abbaseya Station,912.0,,,LL
Abboud,26925.0,POINT (331753.67674587213 3331830.5954406494),4429.75,HH (cluster)
Abd Al Moneim Riad,61605.0,POINT (329535.8411412995 3325586.985621468),8686.625,HH (cluster)
Abd El Aziz St. (Ataba),23457.0,POINT (331310.8896282574 3325552.558965418),7532.076822865551,HH (cluster)
Abdeen,1199.0,POINT (330847.4706962771 3324641.7460518116),5378.194244067334,LH (outlier)
Abdel Menaam Reyad Mosque (Nile Corniche),834.0,,,LL
Abdo Basha,4068.526614174888,POINT (333887.0388579598 3327283.7959694667),3558.55978168112,HH (cluster)
Abdullah Al Othaym (Nile Corniche),385.0,POINT (334797.39834403165 3306994.759787104),1381.625,LL
Abo Senna Steps,2224.0,POINT (329446.65579539817 3337301.3297292697),1205.125,HL (outlier)
Abo Sir Steps (Ring Rd.),172.0,POINT (344813.7328236626 3338123.676472041),2714.625,LH (outlier)
Abou Al Majd Center (Mostorod),878.0,POINT (335067.3111011524 3334063.047526138),6235.375,LH (outlier)
Abou Al Reesh,6117.0,POINT (329996.25764357584 3323244.4907575785),2795.25,HH (cluster)
Abou Wafya,3270.0,POINT (331932.60260945995 3330856.760598425),6211.25,HH (cluster)
Abou Wafya Bridge,875.0,POINT (332900.5136438771 3330652.229585566),4481.25,LH (outlier)
Abu Al Gheit Ambulance Service,1026.0,POINT (326463.831051199 3337688.3337486424),1668.375,LL
Abu Al Houl ( Mansoureyya Rd. ),216.0,,,LL
Abu Al Houl St.,1250.0,POINT (320835.3401353423 3317753.9882220137),2752.875,LH (outlier)
Abu Bakr Al Sedeeq Mosque - Sheraton,280.0,POINT (343515.48664823134 3331041.2195407283),1448.646696517912,LL
Abu Bakr Al Sediq Mosque (Sheraton),904.0,POINT (343386.0995713663 3331084.9741812903),1695.6909511002991,LL
Abu El Numrus,3684.0,POINT (329301.5759534871 3315622.5944886603),1664.375,HL (outlier)
Abu Khater (Al Matareyya),3079.0,POINT (336052.5369805327 3333949.7798639527),4438.375,HH (cluster)
Abu Makarem Mosque (Al Waili),82.0,POINT (334148.32038121833 3326189.773613986),2623.315826771861,LH (outlier)
Adawy (Nile Corniche),1147.0,POINT (334655.7712804777 3308567.9406192424),1386.875,LL
Aden St & Sudan St,1578.0,,,LL
Adidas Steps (Ring Rd.),1311.0,POINT (338092.79323723936 3318194.1851688456),1141.375,HL (outlier)
Afendina Dome ( Manshiyat Nasser ),1539.0,,,LL
Agouza Corniche,969.0,POINT (328206.89192756417 3325274.524036847),1477.875,LL
Agouza Police Hospital,1747.0,POINT (328082.70770539093 3325921.219601222),1940.0,HL (outlier)
Agricultural Center (Badrasheen),2340.0,POINT (330697.67091051285 3303610.9203659524),2004.5,HL (outlier)
Agricultural Research Center - Cairo University,1074.0,POINT (327519.67873398744 3322465.7260529436),8756.375,LH (outlier)
Agyad School (Betcho),240.0,POINT (338856.1322165271 3317026.356959188),888.25,LL
Ahli Bank (Al Nadi Al Gedid St.),3319.0,POINT (333271.7863891789 3316639.180835001),3773.179940196623,HH (cluster)
Ahli Kuwaiti Bank (Sudan St),1616.0,,,LL
Ahmed Al Sallab Mall (Nasr City),3832.0,POINT (338396.55213218054 3325704.65348829),2933.375,HH (cluster)
Ahmed Badawi St.,13053.0,POINT (330841.73611440556 3327431.9262929005),24194.625,HH (cluster)
Ahmed Esmat St. & Ain Shams St.,469.0,POINT (338304.9799052294 3334285.8473677263),1985.25,LL
Ahmed Fakhry and Autostrad,8064.0,POINT (340801.2500052536 3327655.4485408217),9174.126051688469,HH (cluster)
Ahmed Helmy,30825.0,POINT (330806.7163435186 3327281.1424968066),21424.0,HH (cluster)
Ahmed Ismail Square (Alf Maskan),1200.0,POINT (339496.6488863996 3333414.2643696875),11148.875,LH (outlier)
Ahmed Maher Teaching Hospital,10275.262839271729,POINT (331305.3444669902 3324476.7624952006),5596.288652689177,HH (cluster)
Ahmed Oraby Metro,10861.0,POINT (330468.79960573826 3326459.380394787),18587.75,HH (cluster)
Ahmed Oraby Square (Obour),99.0,POINT (351540.7195380976 3344768.2192541454),304.125,LL
Ahmed Oraby St.,14420.0,POINT (330616.4866179107 3326835.78066164),23727.625,HH (cluster)
Ahmed Saaed Bridge Entrance,1386.0,POINT (333528.9883487907 3327882.58021605),2978.125608452981,HH (cluster)
Ahmed Saaed Bridge Exit,1470.0,POINT (333517.7575382384 3327871.7049387735),2967.625608452981,HH (cluster)
Ahmed Saeed St. & Abaseyya St.,4827.950086291886,POINT (333509.5092414857 3327140.6005572393),2964.430052111544,HH (cluster)
Ahmed Zaki St. (Maadi),717.0,POINT (332191.0809371049 3316137.4084754526),4419.948147682191,LH (outlier)
Ahram Gardens Resort (6th of October),44.0,POINT (315462.66890862095 3314969.90768045),1244.125,LL
Ahram School for Basic Education,1435.0,POINT (317945.7946981973 3319009.6281284816),2202.4692048768807,HL (outlier)
Aida (Ahmed Helmy St.),309.0,POINT (331909.2126182971 3329468.5723815747),3991.375,LH (outlier)
Ain Helwan Metro,2044.0,POINT (338256.7710897273 3304726.1893388834),4640.375,HH (cluster)
Ain Shams University,3773.0,POINT (334902.9647760135 3328418.0301443827),7822.875,HH (cluster)
Ain Shams University (Obour),267.0,POINT (351522.7437104083 3342442.7512706374),277.375,LL
Ain Shams University Dorms,1129.0,POINT (335146.6153138984 3328644.719580848),7449.125,LH (outlier)
Air Force Hospital,3295.0,POINT (348921.1047116491 3321604.478555337),983.625,HL (outlier)
Air Force Hospital (Al Waili),6118.0,POINT (333575.92432240245 3326963.3305579284),2620.1738128980296,HH (cluster)
Akhnaton School,122.0,POINT (347068.9156732486 3320555.816618971),836.125,LL
Akhnaton Square (5th Settlement),584.0,POINT (346828.0291622792 3320650.4729940854),894.75,LL
Al Aalam Specialized Hospital,2824.0,POINT (325694.37268243614 3327503.433066713),2947.455131436879,HH (cluster)
Al Abageyya,1945.0,POINT (332565.1730533717 3322704.2574677793),6860.601199313645,HH (cluster)
Al Abaseyya Institute for Computer & Commercial Sciences,20.0,POINT (338410.5669097178 3335701.9390086383),5058.25,LH (outlier)
Al Abaseyya Institute for Computers,4006.0,,,LL
Al Abeet Steps (Ring Rd.),76.0,POINT (324045.3065392581 3327631.4250756316),664.9554180879352,LL
Al Abtal Club ( Ein Al Seera),829.0,POINT (331276.1939027631 3321878.683456837),5637.25,LH (outlier)
Al Abyad Automotive ( Faisal St.),1441.0,POINT (326274.4696617455 3321636.7054255214),7907.375,HH (cluster)
Al Agouza Hospital,1155.0,POINT (328013.4061385427 3326308.0723917787),2221.0,LL
Al Agouza Steps (October Bridge),2478.0,POINT (328286.8572003462 3325485.875614682),1578.625,HL (outlier)
Al Ahli Bank (Courniche Boulaq),710.0,POINT (329125.35191373806 3327003.5602354943),2343.75,LL
Al Ahli Bank (Faisal St.),2743.0,POINT (324579.27840065304 3320901.118901571),5276.0,HH (cluster)
Al Ahly Sporting Club,2710.092524384774,POINT (341414.3407414136 3327819.082864482),6223.3224607597585,HH (cluster)
Al Ahly Sporting Club (Nasr City),1004.0,POINT (341398.5248326438 3327862.7302775406),6417.209026307855,LH (outlier)
Al Amir Steps (Ring Rd.),872.0,POINT (338082.90090085403 3338089.8700424396),1469.25,LL
Al Anabeeb - Waili,2075.0,POINT (334156.6337227913 3331120.845116021),2676.25,HH (cluster)
Al Andalous Specialized Hospital (7th District Nasr City),916.0,POINT (338962.05738780287 3324449.478908053),4864.875,LH (outlier)
Al Areesh (Haram St.),4008.0,POINT (322521.5659996782 3319519.8587864977),4958.0,HH (cluster)
Al Atraby Basha Abu Al Ezz St. & Gesr Al Suez St.,1564.0,POINT (339754.24013154523 3332842.6202900326),10843.5,HH (cluster)
Al Azhar Park Gate,272.0,POINT (332857.39804737107 3324489.8040362108),3143.761684839388,LH (outlier)
Al Azhar Pedestrian Bridge,3895.0,POINT (336852.13643275324 3326727.0843486534),1627.625,HL (outlier)
Al Azhar University Hospital ( Nasr City ),1274.0,,,LL
Al Azhar University Northen Gate,751.0,POINT (337214.66348271223 3326937.3677839977),2428.75,LL
Al Azhar University Southern Gate,590.0,POINT (338091.8891083924 3325626.5410899576),2616.75,LH (outlier)
Al Aziz Bellah (Gesr Al Suez),1533.0,POINT (337708.51303500164 3331023.4326535976),5268.25,HH (cluster)
Al Aziz Bellah St. &  Selim Al Awwal St.,1636.0,POINT (337191.00382302416 3331347.159541012),3946.0,HH (cluster)
Al Azizeya Bridge,1457.0,POINT (330660.9541971575 3306670.8081957498),2573.75,HL (outlier)
Al Badrasheen City Council,828.0,POINT (333619.6957538641 3303441.05189771),1521.25,LL
Al Bahr Al Aazam St. Exit End,1278.0,POINT (327837.50373921276 3318907.673174806),7044.25,LH (outlier)
Al Bahr Al Aazam St. Exit Start,2806.0,POINT (328123.53558177 3318694.030534884),6911.125,HH (cluster)
Al Baloun Theatre (Al Agouza),3088.0,POINT (327941.609766676 3326662.7316357484),3919.0,HH (cluster)
Al Banat Mosque,20675.924629531368,POINT (331670.1476472587 3325230.994627907),7676.530488241464,HH (cluster)
Al Banhawi,10975.0,POINT (332309.0931908594 3326418.828985799),2881.7886906225276,HH (cluster)
Al Barageel Entrance,147.0,POINT (322775.27865403634 3327331.3202818106),649.2054180879352,LL
Al Barageel Steps (Ring Rd.),175.0,POINT (324495.07867870445 3328712.790983656),793.4400755403364,LL
Al Bassous,3820.0,POINT (327819.07126754266 3334952.445095718),443.625,HL (outlier)
