H3_Hex_ID,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score
883e604801fffff,1889,4529,0.0,0.04950819672131146
883e604805fffff,1889,4853,0.0,0.04950819672131146
883e604807fffff,1889,2713,0.0,0.04950819672131146
883e604809fffff,1793,310,0.0,0.0
883e60480bfffff,1323,443,0.0,0.0
883e60480dfffff,1889,1112,0.0,0.04950819672131146
883e604821fffff,1889,4330,0.0,0.04950819672131146
883e604823fffff,1636,976,0.0,0.0
883e604825fffff,1889,4369,0.0,0.04950819672131146
883e604827fffff,1889,2955,0.0,0.04950819672131146
883e604829fffff,1889,6842,0.0,0.04950819672131146
883e60482bfffff,1889,4319,0.0,0.04950819672131146
883e60482dfffff,1889,4767,0.0,0.04950819672131146
883e604845fffff,1890,2651,0.0,0.06229508196721312
883e604847fffff,1889,794,3852.0,0.0
883e60484dfffff,909,1279,0.0,0.0
883e604861fffff,1889,6142,577.0,0.0
883e604863fffff,1889,4541,0.0,0.04950819672131146
883e604865fffff,1889,4727,425.0,0.0
883e604867fffff,1889,8061,0.0,0.04950819672131146
883e604869fffff,1660,2341,0.0,0.0
883e60486bfffff,1889,3718,547.0,0.0
883e60486dfffff,1320,1864,0.0,0.0
883e604901fffff,996,98,0.0,0.0
883e604903fffff,1889,186,0.0,0.04950819672131146
883e604907fffff,1184,121,0.0,0.0
883e60490bfffff,1889,229,0.0,0.04950819672131146
883e604911fffff,1889,2563,0.0,0.04950819672131146
883e604913fffff,1889,2554,0.0,0.04950819672131146
883e604915fffff,1889,723,55.0,0.0
883e604917fffff,1889,1262,0.0,0.04950819672131146
883e604919fffff,1889,4225,0.0,0.04950819672131146
883e60491bfffff,1889,3842,0.0,0.04950819672131146
883e60491dfffff,1889,1063,99.0,0.0
883e604931fffff,1889,6006,0.0,0.04950819672131146
883e604933fffff,1889,4080,322.0,0.0
883e604935fffff,2524,5461,0.0,0.11770491803278688
883e604937fffff,1889,6580,0.0,0.04950819672131146
883e604939fffff,1889,278,0.0,0.04950819672131146
883e60493bfffff,1889,1440,267.0,0.0
883e60493dfffff,1371,2310,0.0,0.0
883e604943fffff,1819,83,0.0,0.0
883e604951fffff,1889,495,240.0,0.0
883e604953fffff,1889,4241,0.0,0.04950819672131146
883e604955fffff,1889,290,0.0,0.04950819672131146
883e604957fffff,1889,1094,820.0,0.0
883e604959fffff,1889,925,0.0,0.04950819672131146
883e60495bfffff,1889,7066,86.0,0.0
883e60495dfffff,1889,111,0.0,0.04950819672131146
883e604961fffff,108,19,0.0,0.0
883e604969fffff,533,230,0.0,0.0
883e60496dfffff,140,36,0.0,0.0
883e6049a9fffff,1343,990,0.0,0.0
883e6049adfffff,1888,1740,0.0,0.03377049180327868
883e6049c5fffff,1888,460,0.0,0.03377049180327868
883e6049c9fffff,1163,3,0.0,0.0
883e6049cdfffff,1889,2181,0.0,0.04950819672131146
883e6049e1fffff,1888,161,0.0,0.03377049180327868
883e6049e3fffff,1696,79,0.0,0.0
883e6049e5fffff,1888,676,0.0,0.03377049180327868
883e6049e7fffff,1888,383,0.0,0.03377049180327868
883e6049e9fffff,1888,190,0.0,0.03377049180327868
883e6049ebfffff,1881,34,0.0,0.0301639344262295
883e6049edfffff,1888,1046,0.0,0.03377049180327868
883e604b21fffff,2191,1024,0.0,0.07967213114754096
883e604b2dfffff,2192,1034,0.0,0.08524590163934426
883e604b33fffff,953,1291,0.0,0.0
883e604b65fffff,2192,728,0.0,0.08524590163934426
883e604d23fffff,1434,495,0.0,0.0
883e604d25fffff,1157,659,0.0,0.0
883e604d27fffff,1435,819,0.0,0.0
883e604d35fffff,1435,165,0.0,0.0
883e604d37fffff,1301,149,0.0,0.0
883e604d3dfffff,694,79,0.0,0.0
883e604d83fffff,535,6,0.0,0.0
883e604d87fffff,385,15,0.0,0.0
883e604db1fffff,515,119,0.0,0.0
883e604db3fffff,562,158,0.0,0.0
883e604db5fffff,120,0,0.0,0.0
883e604db7fffff,764,474,0.0,0.0
883e604dbdfffff,288,29,0.0,0.0
883e620213fffff,2083,109,0.0,0.07081967213114754
883e620217fffff,3353,329,0.0,0.1698360655737705
883e62021bfffff,3663,156,0.0,0.179672131147541
883e620281fffff,2635,115,0.0,0.1318032786885246
883e620283fffff,2536,32,0.0,0.12
883e620287fffff,2655,14,0.0,0.1324590163934426
883e620289fffff,4871,102,0.0,0.23409836065573775
883e62028bfffff,2706,78,0.0,0.13704918032786884
883e620291fffff,2535,20,0.0,0.11901639344262294
883e620295fffff,2535,32,0.0,0.11901639344262294
883e620299fffff,2075,51,0.0,0.07016393442622954
883e62029dfffff,2538,33,0.0,0.12098360655737705
883e6202b9fffff,2230,21,0.0,0.09180327868852461
883e6202bbfffff,2275,17,0.0,0.10688524590163934
883e6202c1fffff,6294,104,0.0,0.30950819672131147
883e6202c7fffff,5613,135,0.0,0.2773770491803279
883e6202cbfffff,6513,111,0.0,0.3154098360655738
883e6202d1fffff,2317,85,0.0,0.1075409836065574
883e6202d5fffff,3297,148,0.0,0.16459016393442621
883e6202d7fffff,2983,153,0.0,0.14557377049180326
883e6202dbfffff,2189,101,0.0,0.0780327868852459
883e6202ebfffff,5112,143,0.0,0.2524590163934426
883e6202edfffff,3390,341,0.0,0.17114754098360657
883e62108bfffff,2444,161,0.0,0.11278688524590164
883e6210c3fffff,2343,233,0.0,0.10885245901639345
883e6210d5fffff,2435,167,0.0,0.11147540983606558
883e6210d9fffff,3310,208,6636.0,0.0
883e6210dbfffff,4695,664,2340.0,0.0
883e6210ddfffff,2435,272,0.0,0.11147540983606558
883e62121bfffff,1040,116,0.0,0.0
883e621253fffff,2561,673,0.0,0.12393442622950818
883e621259fffff,2487,97,0.0,0.11540983606557376
883e62125bfffff,2596,636,0.0,0.12721311475409836
883e62125dfffff,2487,79,0.0,0.11540983606557376
883e621293fffff,7065,534,0.0,0.3265573770491803
883e621297fffff,5128,346,1457.0,0.0
883e62129bfffff,12233,2817,0.0,0.4291803278688524
883e6212b7fffff,2435,200,0.0,0.11147540983606558
883e621345fffff,246,147,0.0,0.0
883e62134dfffff,246,105,0.0,0.0
883e621361fffff,246,147,0.0,0.0
883e621363fffff,160,95,0.0,0.0
883e621369fffff,246,147,0.0,0.0
883e62136bfffff,246,147,0.0,0.0
883e62136dfffff,246,147,0.0,0.0
883e621401fffff,13432,4843,0.0,0.4459016393442623
883e621403fffff,2568,1888,0.0,0.12524590163934424
883e621405fffff,7532,2556,0.0,0.340327868852459
883e621407fffff,11781,4546,0.0,0.420327868852459
883e621409fffff,13433,4843,0.0,0.4465573770491803
883e62140bfffff,6427,2536,0.0,0.31245901639344265
883e62140dfffff,20025,5373,0.0,0.5088524590163934
883e621411fffff,1641,308,0.0,0.0
883e621413fffff,1646,166,0.0,0.0
883e621415fffff,1427,1770,0.0,0.0
883e621417fffff,1646,304,0.0,0.0
883e621419fffff,873,822,0.0,0.0
883e62141bfffff,1449,214,0.0,0.0
883e62141dfffff,870,824,0.0,0.0
883e621429fffff,1445,194,0.0,0.0
883e62142bfffff,1445,196,0.0,0.0
883e62142dfffff,1494,132,0.0,0.0
883e621439fffff,1588,3167,0.0,0.0
883e62143bfffff,1640,577,0.0,0.0
883e62143dfffff,2105,541,0.0,0.0724590163934426
883e621441fffff,7041,1721,0.0,0.3259016393442623
883e621445fffff,14656,9405,19441.0,0.0
883e621447fffff,13482,4896,0.0,0.4472131147540983
883e621449fffff,3292,667,0.0,0.1622950819672131
883e62144dfffff,3292,1177,2424.0,0.0
883e621451fffff,2232,527,0.0,0.09245901639344262
883e621453fffff,774,869,0.0,0.0
883e621457fffff,774,745,0.0,0.0
883e621459fffff,2390,511,0.0,0.11016393442622952
883e62145bfffff,774,697,0.0,0.0
883e621461fffff,9921,2902,9418.0,0.0
883e621463fffff,1724,270,0.0,0.0
883e621465fffff,5197,386,0.0,0.25704918032786883
883e621467fffff,1446,190,0.0,0.0
883e621469fffff,33551,10533,0.0,0.5606557377049181
883e62146bfffff,18488,11872,6808.0,0.0
883e62146dfffff,29154,1739,3439.0,0.02688524590163932
883e6214edfffff,1646,303,0.0,0.0
883e621503fffff,9089,455,0.0,0.37836065573770494
883e621505fffff,3110,258,0.0,0.15147540983606556
883e62150bfffff,5953,186,0.0,0.2973770491803279
883e621511fffff,4953,280,0.0,0.23803278688524587
883e621513fffff,3638,322,0.0,0.179016393442623
883e621515fffff,7940,1291,0.0,0.3501639344262295
883e621517fffff,1444,367,0.0,0.0
883e621519fffff,4719,369,0.0,0.2288524590163934
883e62151bfffff,4286,396,0.0,0.21311475409836067
883e62151dfffff,7531,195,0.0,0.339672131147541
883e621521fffff,8525,393,0.0,0.3632786885245901
883e621523fffff,9625,167,0.0,0.3875409836065574
883e621525fffff,12151,195,0.0,0.42688524590163934
883e621527fffff,7312,235,0.0,0.33245901639344266
883e621529fffff,3044,326,0.0,0.1501639344262295
883e62152bfffff,5430,355,0.0,0.2675409836065574
883e62152dfffff,6811,105,0.0,0.32196721311475407
883e621531fffff,915,33,0.0,0.0
883e621535fffff,4907,55,0.0,0.23475409836065575
883e621537fffff,1508,25,0.0,0.0
883e621539fffff,6066,3287,0.0,0.299672131147541
883e62153bfffff,4042,2008,0.0,0.1934426229508197
883e621549fffff,3595,505,0.0,0.17770491803278687
883e62154bfffff,3498,226,0.0,0.17639344262295087
883e621551fffff,4287,396,0.0,0.21442622950819668
883e621553fffff,4141,383,0.0,0.19606557377049183
