district,native_ar,status,governorate,population,year
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],86552.8,1996
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],477809.0,1996
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],233023.7,1996
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],280872.0,1996
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],285858.0,1996
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],115376.0,1996
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],238567.0,1996
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],180568.0,1996
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],265203.0,1996
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],25116.0,1996
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],395258.0,1996
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],0.0,1996
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],224572.0,1996
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],199548.0,1996
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],331341.5,1996
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],193751.0,1996
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],510129.3,1996
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],523265.0,1996
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],276602.6,1996
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],257347.0,1996
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],60703.4,1996
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],0.0,1996
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],65560.0,1996
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],48704.0,1996
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],78375.0,1996
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],469030.0,1996
Al-Amīriīah,قسم الاميريه,Kism (fully urban),Al-Qāhirah [ Cairo ],164211.0,1996
Al-Azbakiyah [ Azbakeya ],قسم الأزبكية,Kism (fully urban),Al-Qāhirah [ Cairo ],30375.0,1996
Al-Basātīn,قسم البساتين,Kism (fully urban),Al-Qāhirah [ Cairo ],326220.0,1996
Al-Jamāliyah,قسم الجمالية,Kism (fully urban),Al-Qāhirah [ Cairo ],59159.0,1996
Al-Khalīfah,قسم الخليفة,Kism (fully urban),Al-Qāhirah [ Cairo ],77833.5,1996
Al-Ma'ādī [ Maadi ],قسم المعادي,Kism (fully urban),Al-Qāhirah [ Cairo ],70415.0,1996
Al-Marj [ El Marg ],قسم المرج,Kism (fully urban),Al-Qāhirah [ Cairo ],251589.0,1996
Al-Ma'ṣarah,قسم المعصره,Kism (fully urban),Al-Qāhirah [ Cairo ],229991.2,1996
Al-Maṭariyah [ Matariyyah ],قسم المطرية,Kism (fully urban),Al-Qāhirah [ Cairo ],498670.0,1996
Al-Muqaṭṭam,قسم المقطم,Kism (fully urban),Al-Qāhirah [ Cairo ],165824.5,1996
Al-Mūskī,قسم الموسكي,Kism (fully urban),Al-Qāhirah [ Cairo ],28582.0,1996
Al-Qāhirah al-Jadīdah 1 [ New Cairo ],قسم أول القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],0.0,1996
Al-Qāhirah al-Jadīdah 2 [ New Cairo ],قسم ثان القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],7804.9,1996
Al-Qāhirah al-Jadīdah 3 [ New Cairo ],قسم ثالث القاهره الجديده,Kism (fully urban),Al-Qāhirah [ Cairo ],41805.7,1996
Al-Waylī,قسم الوايلي,Kism (fully urban),Al-Qāhirah [ Cairo ],89758.0,1996
An-Nuzhah,قسم النزهة,Kism (fully urban),Al-Qāhirah [ Cairo ],154969.0,1996
