name,native_ar,status,governorate,pop_1996,pop_2006,pop_2017,pop_2023,cagr_2006_2017,centroid_lat,centroid_lon,centroid_source
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],,83430.0,70926.0,76528.0,-0.0146525794804921,30.0388955,31.2125563,nominatim
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],,,659305.0,711161.0,,29.9842871,31.1344924,nominatim
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],,258511.0,278479.0,300422.0,0.006786964703455,30.0549435,31.2127281,nominatim
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],280872.0,352317.0,492178.0,557971.0,0.0308582796508236,29.6195757,31.2581312,nominatim
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],285858.0,383610.0,537133.0,606623.0,0.031074803565174,30.01,31.21,gov_fallback
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],115376.0,140408.0,190847.0,208535.0,0.0282946812823285,29.8959326,31.2650621,nominatim
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],238567.0,251596.0,285723.0,308253.0,0.0116305866135024,29.9870753,31.2118063,nominatim
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],180568.0,241506.0,367663.0,413839.0,0.0389458418308674,29.9870753,31.2118063,nominatim
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],,,366066.0,394884.0,,30.01,31.21,gov_fallback
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],25116.0,33344.0,39248.0,43810.0,0.0149306044190593,30.01,31.21,gov_fallback
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],395258.0,509129.0,722083.0,797066.0,0.0322771132989958,30.1129853,31.2287297,nominatim
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],0.0,29422.0,90699.0,97848.0,0.1077664548221692,30.048347,30.9832235,nominatim
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],224572.0,302804.0,418327.0,472963.0,0.0298156340644775,29.5647221,31.2811109,nominatim
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],199548.0,266970.0,368293.0,417951.0,0.0296812830326058,30.01,31.21,gov_fallback
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],,,457667.0,493760.0,,30.01,31.21,gov_fallback
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],193751.0,275059.0,382779.0,430609.0,0.0304987675412997,30.01,31.21,gov_fallback
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],,701655.0,960031.0,1035628.0,0.028912231914602,30.01,31.21,gov_fallback
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],523265.0,598882.0,632599.0,682349.0,0.0049917032798976,30.0759374,31.2075704,nominatim
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],,391363.0,515512.0,586089.0,0.0253640631067606,30.0759374,31.2075704,nominatim
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],,,447593.0,501949.0,,30.0315846,31.111881,nominatim
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],,115302.0,196373.0,211811.0,0.049596241242684,29.9723458,30.9409205,nominatim
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],,38791.0,152497.0,164491.0,0.1325260787522582,29.9723458,30.9409205,nominatim
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],65560.0,90740.0,93574.0,100511.0,0.0027997568265489,29.8541469,31.3856998,nominatim
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],48704.0,42223.0,40321.0,43347.0,-0.0041814760203582,30.05,31.25,gov_fallback
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],78375.0,60488.0,58489.0,62837.0,-0.0030504556844714,30.0501432,31.2787786,nominatim
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],469030.0,525034.0,614391.0,660111.0,0.0143906084682359,30.05,31.25,gov_fallback
