stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
10_HLW_METRO_N,Helwan,29.84920761,31.33442665,0,339105.4795484975,3303240.6892108326
10_AHL_METRO_N,Ain Helwan,29.86260731,31.32507418,0,338223.5180789146,3304738.888377152
10_UHL_METRO_N,Helwan University,29.8694605,31.32009459,0,337753.57616433094,3305505.441908376
14_HOF_METRO_N,Wadi Hof,29.8790919,31.31362518,0,337144.31852911506,3306582.0385347917
14_HHL_METRO_N,Hadayek Helwan,29.89720264,31.30409622,0,336253.5712916894,3308602.803961663
7_MAA_METRO_N,El-Maasara,29.90639448,31.29966403,0,335840.6375899584,3309627.87116178
27_TAS_METRO_N,Tora El-Asmant,29.92598323,31.28763122,0,334711.1224528323,3311816.184023742
26_KZK_METRO_N,Kozzika,29.93647579,31.28153533,0,334140.02728521614,3312987.8897978524
28_TBA_METRO_N,Tora El-Balad,29.94676442,31.27292144,0,333325.6801819323,3314140.685774906
23_SMA_METRO_N,Sakanat El-Maadi,29.95332048,31.26299153,0,332378.23249777564,3314881.7815281
23_MAD_METRO_N,Maadi,29.96031039,31.25776048,0,331885.1233210047,3315664.1520838193
246_HMA_METRO_N,Hadayek El-Maadi,29.96981609,31.25089933,0,331239.03219246306,3316727.781123217
246_DAR_METRO_N,Dar El-Salam,29.9820971,31.24221305,0,330421.68010218313,3318101.7531970744
31_ZAH_Metro_N,El-Zahraa,29.99556482,31.23127386,0,329389.2185587456,3319610.6793100787
34_MGR_METRO_N,Mar Girgis,30.00616736,31.22960238,0,329246.1239191026,3320788.299949224
32_MSH_Metro_N,El-Malek El-Saleh,30.01770194,31.23123633,0,329423.4892848922,3322064.2984919627
47_ZEI_Metro_N,Al-Sayeda Zeinab,30.02921475,31.23546588,0,329851.1137326639,3323334.025188349
52_SZA_Metro_N,Saad Zaghloul,30.03565377,31.23786695,0,330093.6673622964,3324044.12633784
86_SAD_METRO_N,Sadat,30.04396612,31.23570572,0,329899.45298395795,3324968.638525247
87_NAS_METRO_N,Nasser,30.05341105,31.23867029,0,330201.43986742257,3326011.064540257
98_ORA_METRO_N,Orabi,30.05699518,31.2423492,0,330562.2612720618,3326402.855342454
100_SHO_METRO_N,Al-Shohadaa,30.06163844,31.24628067,0,330949.2075612977,3326911.672368695
137_GHM_METRO_N,Ghamra,30.06893979,31.26466883,0,332734.301190041,3327693.8675902467
159_DMD_METRO_N,El-Demerdash,30.07724739,31.27782834,0,334016.78973147855,3328595.451415412
160_MSD_METRO_N,Manshiet El-Sadr,30.08195828,31.28756314,0,334962.995661576,3329103.47941903
180_KQO_METRO_N,Kobri El-Qobba,30.08717765,31.29411903,0,335603.55303109507,3329672.5123913665
180_HQO_METRO_N,Hammamat El-Qobba,30.09117443,31.29902968,0,336083.4593035672,3330108.435293553
180_SQO_METRO_N,Saray El-Qobba,30.09769402,31.30449448,0,336620.88523390813,3330823.198015721
178_DZT_METRO_N,Hadayeq El-Zaitoun,30.105908,31.31047753,0,337210.96433820185,3331725.0415805504
223_HZT_METRO_N,Helmeyet El-Zaitoun,30.11325184,31.31399486,0,337561.9343700324,3332533.9787434
223_MAT_METRO_N,El-Matareyya,30.12087977,31.31385015,0,337560.47801536706,3333379.6192582855
226_AIN_METRO_N,Ain Shams,30.1310076,31.319099,0,338082.7450521197,3334494.668516221
232_NKH_METRO_N,Ezbet El-Nakhl,30.13927252,31.32451217,0,338617.7096874864,3335403.033105145
251_MRG_METRO_N,El-Marg,30.15210727,31.33581322,0,339727.1313600226,3336809.623055575
251_NMR_METRO_N,New El-Marg,30.16350672,31.33837579,0,339992.37243793195,3338069.470517034
263_MON_METRO_N,El-Mounib,29.9816322,31.21164658,0,327471.5698091381,3318095.850519001
457_MEK_METRO_N,Sakiat Mekki,29.99557655,31.2086355,0,327205.1933903857,3319645.912485245
457_GIZ_METRO_N,El-Giza,30.01067354,31.20710745,0,327083.9648301564,3321321.5005738745
369_FAS_METRO_N,Faisal,30.01754686,31.2039747,0,326793.7251917569,3322088.0453340597
370_CUN_METRO_N,Cairo University,30.02620052,31.20115645,0,326536.96340448473,3323051.4494481473
361_BHO_METRO_N,Bohooth,30.03575511,31.20029831,0,326470.8520048955,3324111.744021528
361_DOK_METRO_N,Dokki,30.03824505,31.21228949,0,327631.555156569,3324369.592009382
237_OPR_METRO_N,Opera,30.04188769,31.2250226,0,328865.7244391987,3324754.209537919
69_NAG_METRO_N,Mohamed Naguib,30.04531011,31.24426482,0,330727.075969985,3325104.9023910644
81_ATT_METRO_N,Attaba,30.05242014,31.24688208,0,330991.527027344,3325889.0719928523
144_MSA_METRO_N,Masarra,30.07088738,31.24507213,0,330848.4269551588,3327938.5690634046
153_RFG_METRO_N,Rod El Farag,30.08059006,31.24545858,0,330902.19005336304,3329013.3979060706
157_STR_METRO_N,St. Teresa,30.0879546,31.24551425,0,330920.0894658942,3329829.568433747
157_KHL_METRO_N,Khalafawy,30.09788041,31.24541126,0,330927.0602894136,3330929.85492905
158_MZL_METRO_N,Mezallat,30.10391022,31.24605645,0,330999.50455091626,3331597.2187039214
324_ZER_METRO_N,Kolleyyet El-Zeraa,30.11369186,31.24866989,0,331267.989875754,3332677.509645063
326_SHB_METRO_N,Shubra El-Kheima,30.122569,31.24480466,0,330910.66489197296,3333667.1371796564
208_FZO_METRO_N,Fair Zone,30.07311565,31.30054624,0,336199.86015191,3328104.7346002194
192_KBN_METRO_N,Koleyet El-Banat,30.08414757,31.32910599,0,338970.8336484614,3329286.847839457
190_STA_METRO_N,Stadium,30.07284313,31.31725049,0,337809.6711206065,3328050.7072250587
214_AHR_METRO_N,Al-Ahram,30.09126404,31.32659894,0,338740.73915083695,3330079.1255693026
161_ABB_METRO_N,Abbassiya,30.06963106,31.28102213,0,334311.9591357182,3327746.665690632
163_ABB_METRO_N,Abdou Pasha,30.06474604,31.27479844,0,333703.8118485869,3327214.2754732696
118_GES_METRO_N,El-Geish,30.06175572,31.26692836,0,332940.05706707994,3326894.319380421
77_BSH_METRO_N,Bab El-Shaaria,30.05386224,31.25606261,0,331879.1462620511,3326035.3743685116
457_OMS_METRO_N,Omm El-Misryeen,30.00599033,31.2079595,0,327158.0323882017,3320801.1480383486
10_HLW_METRO_S,Helwan,29.84914635,31.33410853,0,339074.64644996123,3303234.3446613504
10_AHL_METRO_S,Ain Helwan,29.862597,31.32502303,0,338218.56028871215,3304737.8176654456
10_UHL_METRO_S,Helwan University,29.8694444,31.3200422,0,337748.4895021174,3305503.7314616553
14_HOF_METRO_S,Wadi Hof,29.87908235,31.31358313,0,337140.2415799253,3306581.0396733484
14_HHL_METRO_S,Hadayek Helwan,29.89718649,31.30403428,0,336247.5634303283,3308601.1023165565
7_MAA_METRO_S,El-Maasara,29.90636794,31.29953211,0,335827.8559075177,3309625.1182401692
27_TAS_METRO_S,Tora El-Asmant,29.92598266,31.28760049,0,334708.15480599407,3311816.165096221
26_KZK_METRO_S,Kozzika,29.93646935,31.28149678,0,334136.29532822035,3312987.231754358
28_TBA_METRO_S,Tora El-Balad,29.94670473,31.2728575,0,333319.4090300843,3314134.1630701125
23_SMA_METRO_S,Sakanat El-Maadi,29.95330087,31.26295604,0,332374.77426370647,3314879.659957449
23_MAD_METRO_S,Maadi,29.96029333,31.25772103,0,331881.2873351426,3315662.3191021774
246_HMA_METRO_S,Hadayek El-Maadi,29.96980116,31.25085695,0,331234.9172984597,3316726.1887637307
246_DAR_METRO_S,Dar El-Salam,29.98204125,31.24213409,0,330413.9664823564,3318095.679956525
31_ZAH_Metro_S,El-Zahraa,29.99553821,31.23123519,0,329385.4423331544,3319607.7875953685
34_MGR_METRO_S,Mar Girgis,30.00617048,31.22955449,0,329241.50956017885,3320788.7171639376
32_MSH_Metro_S,El-Malek El-Saleh,30.01771168,31.23118191,0,329418.2569530481,3322065.4591156705
47_ZEI_Metro_S,Al-Sayeda Zeinab,30.02929347,31.23532856,0,329838.0047826917,3323342.954303833
52_SZA_Metro_S,Saad Zaghloul,30.03566796,31.23780782,0,330087.9893146031,3324045.7868978037
86_SAD_METRO_S,Sadat,30.0438555,31.23570807,0,329899.490510629,3324956.3744368427
87_NAS_METRO_S,Nasser,30.05342843,31.23864421,0,330198.9549295225,3326013.029583387
98_ORA_METRO_S,Orabi,30.05702051,31.24232543,0,330560.0126308615,3326405.698023401
100_SHO_METRO_S,Al-Shohadaa,30.06163171,31.24625811,0,330947.0210955336,3326910.9598073866
137_GHM_METRO_S,Ghamra,30.06897582,31.26465606,0,332733.130741483,3327697.8796541723
159_DMD_METRO_S,El-Demerdash,30.07727367,31.27781513,0,334015.5602478044,3328598.383333995
160_MSD_METRO_S,Manshiet El-Sadr,30.08198521,31.28753448,0,334960.2778553137,3329106.5055844337
180_KQO_METRO_S,Kobri El-Qobba,30.08720866,31.29408847,0,335600.6588312493,3329675.9933372075
180_HQO_METRO_S,Hammamat El-Qobba,30.091155,31.29903139,0,336083.5920508185,3330106.279333068
180_SQO_METRO_S,Saray El-Qobba,30.09771715,31.30446397,0,336617.9829119281,3330825.805254969
178_DZT_METRO_S,Hadayeq El-Zaitoun,30.10593656,31.31043573,0,337206.98307097855,3331728.2665977045
223_HZT_METRO_S,Helmeyet El-Zaitoun,30.11325542,31.31394259,0,337556.9035526193,3332534.449911097
223_MAT_METRO_S,El-Matareyya,30.12089699,31.31370072,0,337546.10841576336,3333381.7405228177
226_AIN_METRO_S,Ain Shams,30.13104236,31.31902927,0,338076.0839163555,3334498.620074131
232_NKH_METRO_S,Ezbet El-Nakhl,30.13930274,31.32448738,0,338615.3707790067,3335406.4175868644
251_MRG_METRO_S,El-Marg,30.15211739,31.33573864,0,339719.96414393303,3336810.8495327258
251_NMR_METRO_S,New El-Marg,30.16356909,31.33822442,0,339977.89485678694,3338076.5957462913
263_MON_METRO_S,El-Mounib,29.98161046,31.21154471,0,327461.702862493,3318093.594335361
457_MEK_METRO_S,Sakiat Mekki,29.99556865,31.20858358,0,327200.17068016937,3319645.1152067254
457_GIZ_METRO_S,El-Giza,30.01065633,31.20706494,0,327079.83440289565,3321319.657293118
369_FAS_METRO_S,Faisal,30.01753784,31.20392741,0,326789.14817274845,3322087.1171488483
370_CUN_METRO_S,Cairo University,30.02618197,31.20112055,0,326533.4686725268,3323049.44785444
361_BHO_METRO_S,Bohooth,30.03578216,31.20028373,0,326469.4931069384,3324114.7642541085
361_DOK_METRO_S,Dokki,30.03829432,31.21227982,0,327630.70795788895,3324375.067461571
237_OPR_METRO_S,Opera,30.04194775,31.22497941,0,328861.662887623,3324760.9309345693
69_NAG_METRO_S,Mohamed Naguib,30.04531922,31.24421295,0,330722.08982020104,3325105.988861953
81_ATT_METRO_S,Attaba,30.05242301,31.24684085,0,330987.5565224502,3325889.451024414
144_MSA_METRO_S,Masarra,30.07088702,31.24503178,0,330844.5365322799,3327938.5888808826
153_RFG_METRO_S,Rod El Farag,30.08058891,31.24542546,0,330898.9955829745,3329013.3194616474
157_STR_METRO_S,St. Teresa,30.08794841,31.24547941,0,330916.7208711685,3329828.933929225
157_KHL_METRO_S,Khalafawy,30.09788506,31.24537728,0,330923.7933666224,3330930.4206233714
158_MZL_METRO_S,Mezallat,30.10392187,31.24603958,0,330997.8986272341,3331598.5349115427
324_ZER_METRO_S,Kolleyyet El-Zeraa,30.11370254,31.24863661,0,331264.80117190594,3332678.742568236
326_SHB_METRO_S,Shubra El-Kheima,30.12255097,31.24477241,0,330907.52682199056,3333665.1865903386
208_FZO_METRO_S,Fair Zone,30.07313974,31.3005302,0,336198.35362225387,3328107.427574966
192_KBN_METRO_S,Koleyet El-Banat,30.08416019,31.32907732,0,338968.09069347254,3329288.286962123
190_STA_METRO_S,Stadium,30.07286581,31.31723255,0,337807.9787456769,3328053.2463832553
214_AHR_METRO_S,Al-Ahram,30.09125121,31.32657142,0,338738.06594674365,3330077.7424292457
161_ABB_METRO_S,Abbassiya,30.069645,31.28099501,0,334309.3679453926,3327748.2500341753
163_ABB_METRO_S,Abdou Pasha,30.06477006,31.27478473,0,333702.53028112196,3327216.9576597265
118_GES_METRO_S,El-Geish,30.06177709,31.26690947,0,332938.2717811953,3326896.7155189835
77_BSH_METRO_S,Bab El-Shaaria,30.05387998,31.25603817,0,331876.81978831545,3326037.3765096627
457_OMS_METRO_S,Omm El-Misryeen,30.00598319,31.20788647,0,327150.97511932906,3320800.466902928
10_HLW_METRO,Helwan,29.84919824,31.33427858,1,339091.15889550024,3303239.857789642
10_AHL_METRO,Ain Helwan,29.86260453,31.32504691,1,338220.87927740096,3304738.618625961
10_UHL_METRO,Helwan University,29.86945139,31.32006687,1,337750.8838104704,3305504.471356483
14_HOF_METRO,Wadi Hof,29.87908791,31.31359956,1,337141.83751978044,3306581.6326151695
14_HHL_METRO,Hadayek Helwan,29.89719696,31.30406339,1,336250.3916614888,3308602.2212297204
7_MAA_METRO,El-Maasara,29.9063875,31.2995916,1,335833.6323272496,3309627.2010746314
27_TAS_METRO,Tora El-Asmant,29.92598428,31.28761601,1,334709.65580001916,3311816.322297287
26_KZK_METRO,Kozzika,29.93647069,31.28151623,1,334138.1750800054,3312987.3521584207
28_TBA_METRO,Tora El-Balad,29.94672844,31.27289163,1,333322.74285807746,3314136.741325642
23_SMA_METRO,Sakanat El-Maadi,29.95330922,31.26297275,1,332376.40104589215,3314880.5609931285
23_MAD_METRO,Maadi,29.96030296,31.25774139,1,331883.2684631666,3315663.356578548
246_HMA_METRO,Hadayek El-Maadi,29.96980882,31.25087992,1,331237.146844522,3316727.003935543
246_DAR_METRO,Dar El-Salam,29.98206603,31.24217529,1,330417.98390666867,3318098.365457703
